Model Name,Parameter Size
OpenAI-o1,2.00e+11
gpt-4o,2.00e+11
claude-3-5-sonnet,4.00e+11
llama3-405b-instruct-maas,4.06e+11
gemini-2.0-pro-exp,N/A
gpt-4,1.76e+12
claude-3-opus,2.00e+12
claude-3-7-sonnet,4.00e+11
gemini-2.0-flash,N/A
gemini-ultra,1.00e+12
Meta-Llama-3-70B-Instruct,7.06e+10
gpt-4o-mini,8.00e+9
llama-4-maverick-17b-128e-it,4.00e+11
phi4,1.40e+10
Llama-3.3-70B,7.06e+10
gemma-3-27b-it,2.70e+10
Phi-3-medium-128k-instruct,N/A
claude-3-haiku,2.00e+10
qwen-2.5-32b,3.20e+10
claude-3-sonnet,7.00e+10
Meta-Llama-3.1-8B-Instruct,8.00e+9
Llama3-OpenBioLLM-70B,7.00e+10
Mixtral-8x7B-Instruct-v0.1,5.60e+10
gemini-pro-1.5,N/A
Phi-3-mini-4k-instruct,N/A
Phi-3-mini-128k-instruct,N/A
JSL-MedLlama-3-8B-v2.0,8.00e+9
deepseek-distill-qwen32b,3.20e+10
gemma2-27b,2.70e+10
gpt-3.5-turbo,1.75e+11
gemma2-9b,9.00e+9
phi-4-mini-4k-instruct,N/A
Mistral-7B-Instruct-v0.3,7.00e+9
meditron-7B,7.00e+9
Mistral-7B-Instruct-v0.2,7.00e+9
Meta-Llama-3-8B,8.00e+9
PMC-LLAMA-7B-FT,7.00e+9
Llama3-OpenBioLLM-8B,8.00e+9
gemma2-2b,2.00e+9
