specialty,Domain,o1,gpt-4o,claude-3-5-sonnet,llama3-405b-instruct-maas,gpt-4,Meta-Llama-3-70B-Instruct,claude-3-opus,gemini-ultra,claude-3-7-sonnet,gemini-2.0-flash,gemini-2.0-pro-exp,gpt-4o-mini,llama-4-maverick-17b-128e-it,phi4,claude-3-haiku,qwen-2.5-32b,Llama-3.3-70B,claude-3-sonnet,Phi-3-medium-128k-instruct,gemma-3-27b-it,Mixtral-8x7B-Instruct-v0.1,Phi-3-mini-4k-instruct,gemini-pro-1.5,Meta-Llama-3.1-8B-Instruct,Phi-3-mini-128k-instruct,gemma2-27b,Llama3-OpenBioLLM-70B,JSL-MedLlama-3-8B-v2.0,phi-4-mini-4k-instruct,Mistral-7B-Instruct-v0.3,gemma2-9b,gpt-3.5-turbo,meditron,pmc,Mistral-7B-Instruct-v0.2,Meta-Llama-3-8B,Llama3-OpenBioLLM-8B,deepseek-distill-qwen32b,gemma2-2b
Rheumatology,Medicine,0.92,0.94,0.92,0.93,0.85,0.86,0.88,0.87,0.86,0.86,0.86,0.84,0.82,0.89,0.79,0.82,0.87,0.79,0.80,0.81,0.73,0.75,0.74,0.78,0.78,0.71,0.74,0.66,0.71,0.62,0.66,0.73,0.6,0.56,0.62,0.54,0.59,0.48,0.41
Nephrology,Medicine,0.92,0.92,0.85,0.90,0.90,0.84,0.86,0.87,0.92,0.87,0.85,0.85,0.85,0.87,0.80,0.82,0.78,0.77,0.81,0.73,0.73,0.71,0.68,0.76,0.70,0.70,0.70,0.72,0.63,0.58,0.68,0.67,0.66,0.58,0.57,0.59,0.58,0.52,0.43
Endocrinology,Medicine,0.92,0.90,0.91,0.90,0.86,0.85,0.88,0.82,0.87,0.83,0.86,0.80,0.82,0.78,0.80,0.77,0.82,0.79,0.77,0.80,0.71,0.70,0.71,0.74,0.69,0.69,0.77,0.72,0.65,0.5,0.65,0.67,0.58,0.56,0.5,0.56,0.57,0.54,0.4
Gastroenterology,Medicine,0.95,0.91,0.91,0.91,0.87,0.85,0.84,0.82,0.87,0.85,0.82,0.84,0.78,0.85,0.76,0.78,0.87,0.72,0.79,0.77,0.70,0.63,0.70,0.75,0.60,0.69,0.73,0.71,0.58,0.53,0.7,0.66,0.55,0.53,0.52,0.61,0.58,0.51,0.35
Other,Medicine,0.84,0.91,0.88,0.88,0.84,0.84,0.88,0.88,0.91,0.91,0.91,0.81,0.78,0.81,0.91,0.88,0.88,0.78,0.84,0.84,0.75,0.59,0.69,0.81,0.59,0.75,0.62,0.69,0.53,0.53,0.53,0.62,0.56,0.47,0.44,0.5,0.59,0.53,0.34
Pulmonary_Medicine,Medicine,0.91,0.88,0.87,0.88,0.82,0.86,0.88,0.86,0.86,0.87,0.83,0.78,0.80,0.82,0.75,0.72,0.77,0.74,0.77,0.83,0.72,0.70,0.66,0.67,0.74,0.65,0.68,0.62,0.69,0.57,0.64,0.55,0.6,0.5,0.51,0.58,0.49,0.53,0.53
Pathology,Pathology,0.85,0.84,0.85,0.83,0.82,0.77,0.81,0.80,0.80,0.78,0.77,0.81,0.77,0.81,0.74,0.74,0.77,0.74,0.74,0.78,0.69,0.69,0.70,0.71,0.67,0.64,0.68,0.66,0.67,0.6,0.63,0.62,0.6,0.58,0.52,0.54,0.5,0.47,0.42
Internal_Medicine,Medicine,0.86,0.87,0.85,0.77,0.80,0.80,0.82,0.79,0.82,0.77,0.82,0.80,0.76,0.85,0.70,0.72,0.73,0.69,0.75,0.73,0.69,0.62,0.72,0.73,0.66,0.61,0.72,0.68,0.58,0.58,0.46,0.66,0.63,0.62,0.58,0.46,0.54,0.49,0.32
Psychiatry,Medicine,0.82,0.83,0.82,0.80,0.80,0.76,0.79,0.80,0.76,0.76,0.77,0.77,0.73,0.76,0.75,0.73,0.72,0.73,0.74,0.73,0.71,0.66,0.73,0.61,0.70,0.71,0.69,0.65,0.63,0.56,0.6,0.67,0.54,0.54,0.55,0.53,0.55,0.57,0.37
Oncology,Surgery,0.87,0.82,0.79,0.82,0.79,0.76,0.76,0.79,0.84,0.82,0.82,0.82,0.76,0.76,0.74,0.79,0.68,0.76,0.76,0.76,0.68,0.63,0.50,0.63,0.66,0.68,0.63,0.74,0.66,0.63,0.71,0.61,0.5,0.47,0.5,0.61,0.5,0.45,0.42
