specialty,Domain,OpenAI-03,OpenAI-o1,gpt-4o,claude-3-5-sonnet,gemini-2.5-flash,llama3-405b-instruct-maas,gpt-4,claude-3-7-sonnet,gemini-ultra,claude-3-opus,Meta-Llama-3-70B-Instruct,gemini-2.0-flash,gemini-2.0-pro-exp,gpt-4o-mini,llama-4-maverick-17b-128e-it,Llama-3.3-70B,phi4,gemma-3-27b-it,qwen-2.5-32b,claude-3-haiku,Phi-3-medium-128k-instruct,claude-3-sonnet,Llama3-OpenBioLLM-70B,Meta-Llama-3.1-8B-Instruct,Mixtral-8x7B-Instruct-v0.1,gemini-pro-1.5,Phi-3-mini-4k-instruct,Phi-3-mini-128k-instruct,gemma2-27b,JSL-MedLlama-3-8B-v2.0,gpt-3.5-turbo,gemma2-9b,phi-4-mini-4k-instruct,meditron-7b,Mistral-7B-Instruct-v0.3,Meta-Llama-3-8B,PMC-LLAMA-7B-FT,Mistral-7B-Instruct-v0.2,Llama3-OpenBioLLM-8B,deepseek-distill-qwen32b,gemma2-2b
Rheumatology,Medicine,0.88,0.92,0.94,0.92,0.94,0.93,0.85,0.86,0.87,0.88,0.86,0.86,0.86,0.84,0.82,0.87,0.89,0.81,0.82,0.79,0.8,0.79,0.74,0.78,0.73,0.74,0.75,0.78,0.71,0.66,0.73,0.66,0.71,0.6,0.62,0.54,0.56,0.62,0.59,0.48,0.41
Nephrology,Medicine,0.92,0.92,0.92,0.85,0.89,0.9,0.9,0.92,0.87,0.86,0.84,0.87,0.85,0.85,0.85,0.78,0.87,0.73,0.82,0.8,0.81,0.77,0.7,0.76,0.73,0.68,0.71,0.7,0.7,0.72,0.67,0.68,0.63,0.66,0.58,0.59,0.58,0.57,0.58,0.52,0.43
Endocrinology,Medicine,0.95,0.92,0.9,0.91,0.93,0.9,0.86,0.87,0.82,0.88,0.85,0.83,0.86,0.8,0.82,0.82,0.78,0.8,0.77,0.8,0.77,0.79,0.77,0.74,0.71,0.71,0.7,0.69,0.69,0.72,0.67,0.65,0.65,0.58,0.5,0.56,0.56,0.5,0.57,0.54,0.4
Gastroenterology,Medicine,0.96,0.95,0.91,0.91,0.93,0.91,0.87,0.87,0.82,0.84,0.85,0.85,0.82,0.84,0.78,0.87,0.85,0.77,0.78,0.76,0.79,0.72,0.73,0.75,0.7,0.7,0.63,0.6,0.69,0.71,0.66,0.7,0.58,0.55,0.53,0.61,0.53,0.52,0.58,0.51,0.35
Other,Medicine,0.88,0.84,0.91,0.88,0.81,0.88,0.84,0.91,0.88,0.88,0.84,0.91,0.91,0.81,0.78,0.88,0.81,0.84,0.88,0.91,0.84,0.78,0.62,0.81,0.75,0.69,0.59,0.59,0.75,0.69,0.62,0.53,0.53,0.56,0.53,0.5,0.47,0.44,0.59,0.53,0.34
Pulmonary_Medicine,Medicine,0.94,0.91,0.88,0.87,0.91,0.88,0.82,0.86,0.86,0.88,0.86,0.87,0.83,0.78,0.8,0.77,0.82,0.83,0.72,0.75,0.77,0.74,0.68,0.67,0.72,0.66,0.7,0.74,0.65,0.62,0.55,0.64,0.69,0.6,0.57,0.58,0.5,0.51,0.49,0.53,0.53
Pathology,Pathology,0.89,0.85,0.84,0.85,0.82,0.83,0.82,0.8,0.8,0.81,0.77,0.78,0.77,0.81,0.77,0.77,0.81,0.78,0.74,0.74,0.74,0.74,0.68,0.71,0.69,0.7,0.69,0.67,0.64,0.66,0.62,0.63,0.67,0.6,0.6,0.54,0.58,0.52,0.5,0.47,0.42
Internal_Medicine,Medicine,0.87,0.86,0.87,0.85,0.82,0.77,0.8,0.82,0.79,0.82,0.8,0.77,0.82,0.8,0.76,0.73,0.85,0.73,0.72,0.7,0.75,0.69,0.72,0.73,0.69,0.72,0.62,0.66,0.61,0.68,0.66,0.46,0.58,0.63,0.58,0.46,0.62,0.58,0.54,0.49,0.32
Oncology,Surgery,0.87,0.87,0.82,0.79,0.84,0.82,0.79,0.84,0.79,0.76,0.76,0.82,0.82,0.82,0.76,0.68,0.76,0.76,0.79,0.74,0.76,0.76,0.63,0.63,0.68,0.5,0.63,0.66,0.68,0.74,0.61,0.71,0.66,0.5,0.63,0.61,0.47,0.5,0.5,0.45,0.42
Psychiatry,Medicine,0.82,0.82,0.83,0.82,0.82,0.8,0.8,0.76,0.8,0.79,0.76,0.76,0.77,0.77,0.73,0.72,0.76,0.73,0.73,0.75,0.74,0.73,0.69,0.61,0.71,0.73,0.66,0.7,0.71,0.65,0.67,0.6,0.63,0.54,0.56,0.53,0.54,0.55,0.55,0.57,0.37
