sample_id,question,rationale,model_prompt,outputs,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore_Precision,BERTScore_Recall,BERTScore_F1
24c2dfd2df3897989f3e3d3f4f0227b187f46fb9151a371d420629d0a96bbeb0,Which mosquito-borne disease is a leading cause of death in Africa? ,"Malaria, caused by the Plasmodium parasite, is a leading cause of death in Africa.","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: Which mosquito-borne disease is a leading cause of death in Africa? 
###Answer:",": Malaria is a leading cause of death in Africa. In 2016, there were 216 million cases of malaria and 452,000 deaths. The highest burden of disease is found in children under 5 years of age.

###Answer: OPTION A IS CORRECT.",0.31999999596800005,0.26415093969384124,0.31999999596800005,0.8532114,0.89286065,0.8725859
048665be6cd9131df29552367ed6c0babd13c28c10a35701085b94dd6327bfce,What is a common traditional remedy for stomach ailments in Africa?,Drinking ginger or peppermint tea is a common traditional remedy for stomach issues in Africa.,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: What is a common traditional remedy for stomach ailments in Africa?
###Answer:", OPTION A IS CORRECT.,0.0,0.0,0.0,0.80912924,0.83409405,0.821422
22ccd202f44c10f1d4a42d5e737b64912d24b6b2a2a2a2b03d404f265851981f,"What is the most common gynecologic malignancy in African women?
","Cervical cancer is the most common gynecologic malignancy in African women, with high incidence rates attributed to persistent human papillomavirus (HPV) infection, limited access to screening programs, and sociocultural factors. Prevention strategies include HPV vaccination and cervical cancer screening.","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: What is the most common gynecologic malignancy in African women?

###Answer:"," <p>Cervical cancer is the most common malignancy of the reproductive tract of women in Africa. The age-adjusted incidence rates are 13.2 per 100,000 in urban and 21.9 in rural areas. The mortality rates are 7.1 and 10.2 per 100,000, respectively. The age-specific incidence rates are 10 times",0.28169013584606234,0.11904761409297072,0.28169013584606234,0.8479551,0.85280573,0.8503735
38a71f650d2f05c944e41a4a89a2acfa19dbfd4a11b8669291dd68445fc1c14d,What is the primary method used for diagnosing hemolytic anemia associated with thrombotic thrombocytopenic purpura (TTP) in Africa? ,Measurement of ADAMTS13 activity and presence of ADAMTS13 inhibitors is the primary method used for diagnosing hemolytic anemia associated with thrombotic thrombocytopenic purpura (TTP) in Africa. This can be done using enzyme-linked immunosorbent assays (ELISAs) or functional assays.,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: What is the primary method used for diagnosing hemolytic anemia associated with thrombotic thrombocytopenic purpura (TTP) in Africa? 
###Answer:", OPTION A IS CORRECT.,0.0,0.0,0.0,0.79956615,0.7633916,0.7810602
3dab367ad95409be910b2bb7cc83e638b6cb7f5dac3c3275fe5189ed4712d0ed,"How do cultural beliefs and social norms influence the prevalence and management of chronic diseases such as diabetes and hypertension in Africa, and what strategies can be implemented to promote preventive behaviors and improve disease management?","Cultural beliefs and social norms play a significant role in shaping perceptions of chronic diseases like diabetes and hypertension in Africa. Stigma, fear of diagnosis, and reliance on traditional healers may deter individuals from seeking early diagnosis and adhering to treatment regimens. Cultural dietary practices, physical activity patterns, and health-seeking behaviors also impact disease management outcomes. Strategies to promote preventive behaviors and improve disease management involve community engagement, culturally tailored health education programs, integration of traditional healing practices with modern healthcare services, training of community health workers, and decentralization of chronic disease management services to primary care settings. Empowering individuals and communities to make healthy lifestyle choices, addressing socio-economic inequalities, and strengthening healthcare systems are crucial for mitigating the burden of chronic diseases in Africa.","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: How do cultural beliefs and social norms influence the prevalence and management of chronic diseases such as diabetes and hypertension in Africa, and what strategies can be implemented to promote preventive behaviors and improve disease management?
###Answer:"," In Africa, cultural beliefs and social norms influence the prevalence and management of chronic diseases such as diabetes and hypertension. Strategies to promote preventive behaviors and improve disease management include health education, community-based interventions, and social marketing.

###Answer: OPTION A IS CORRECT.",0.29687499595703126,0.18987341394007376,0.29687499595703126,0.90151435,0.8761563,0.8886545
78b1291aaec5e1716a658dfa6fed3cc58782a4c87c73f268fda79edac5b81a9d,What is the most common cause of pediatric pneumonia in Africa? ,"Respiratory syncytial virus (RSV) is a common cause of pediatric pneumonia in Africa, particularly in infants and young children.","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: What is the most common cause of pediatric pneumonia in Africa? 
###Answer:"," Pneumonia is the leading cause of pediatric morbidity and mortality in Africa. The most common causative organism is Streptococcus pneumoniae. Other common causative organisms include Haemophilus influenzae, Klebsiella pneumoniae, and Staphylococcus aureus.",0.3043478213232515,0.08333332864583361,0.26086956045368626,0.8244655,0.8653523,0.84441423
ee9839f503b4adce608c3a6d6a36d2e8b97cee86de9b918766ca1a94c0464cc5,"Explain the diagnostic approach and management of common gastrointestinal disorders, such as peptic ulcer disease and gastroenteritis, in Nigerian patients.","Answer: Peptic ulcer disease is commonly caused by Helicobacter pylori infection or non-steroidal anti-inflammatory drugs (NSAIDs) in Nigeria. Diagnosis involves upper endoscopy and H. pylori testing. Management includes proton pump inhibitors, H. pylori eradication therapy, and avoidance of NSAIDs. Gastroenteritis is typically managed with rehydration therapy, antiemetics, and antibiotics in severe cases, with consideration of local antimicrobial resistance patterns.","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: Explain the diagnostic approach and management of common gastrointestinal disorders, such as peptic ulcer disease and gastroenteritis, in Nigerian patients.
###Answer:", # Peptic ulcer disease: The prevalence of H. pylori infection in Nigerians is about 70%. Eradication of the infection with antibiotics can reduce the ulcer rate. # Gastric carcinoma: The incidence of gastric carcinoma in Nigerians is low. # Gastroenteritis: Rotavirus and E. coli are the common causes of diarrhoea in children. # Dys,0.2499999950645662,0.0555555505709881,0.22727272233729348,0.8595035,0.84651685,0.8529607
ed8dcd8db10365f787bd64b4cc98629e9f18a7769bff80b900c94c26f963e643,How does the prevalence of anemia vary across different age groups in Africa?,"Anemia prevalence varies across age groups, with higher rates observed among children under five, pregnant women, and elderly populations in Africa.","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: How does the prevalence of anemia vary across different age groups in Africa?
###Answer:", The prevalence of anemia varies across different age groups in Africa. [PMID:21971282],0.36363635900826446,0.1290322534859523,0.36363635900826446,0.84814996,0.88992524,0.8685355
c5a15b201d3bfb15ac7b709966bd25d8fce0c550fabe3392ac915d30b9d26bf3,What traditional remedies are used for pain management in African cultures?,"Traditional remedies may include herbal teas, topical ointments, and massage techniques using plants such as ginger, turmeric, or aloe vera.","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: What traditional remedies are used for pain management in African cultures?
###Answer:"," Traditional remedies for pain management are used in many cultures. In African cultures, some of the traditional remedies used for pain management are herbal preparations, such as the use of ginger, garlic, and hyssoprasia; the use of animal products, such as beeswax, snail extract, and tortoise shell; and the use of mineral salts, such as alum. Some of these preparations may be poison",0.25806451175858486,0.05555555167052497,0.22580644724245583,0.85734946,0.87492585,0.8660485
0bfd988c5545a50fa4af467c34c9201b48480babbd04132f79c4e9dbf68c46d5,"What is the recommended first-line treatment for endometrial hyperplasia without atypia in African women who desire fertility preservation?
","Progestin therapy is the recommended first-line treatment for endometrial hyperplasia without atypia in African women who desire fertility preservation. Oral or intrauterine progestin regimens induce endometrial decidualization, promoting glandular apoptosis and regression of hyperplastic lesions.
","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: What is the recommended first-line treatment for endometrial hyperplasia without atypia in African women who desire fertility preservation?

###Answer:", Progesterone therapy is the recommended first-line treatment for endometrial hyperplasia without atypia in African women who desire fertility preservation.,0.6666666621056242,0.6415094294766821,0.6666666621056242,0.96638215,0.90363425,0.9339555
