sample_id,question,rationale,options_len,answer,A,B,C,D,E,model_prompt,outputs,preds,correct,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore_Precision,BERTScore_Recall,BERTScore_F1
b682d57a13b1ad18379a7b4f781c900065b23a8a47e2c6edb0738df241f2f81d,"Which of the following conditions is characterized by an abnormal enlargement of the thyroid gland, often resulting in a visibly enlarged neck, and is endemic in certain regions of Africa due to dietary iodine deficiency?","Simple (nontoxic) goiter is characterized by thyroid enlargement without associated thyroid dysfunction. It often results from iodine deficiency, particularly in regions where dietary iodine intake is inadequate. Endemic goiter is a public health concern in various parts of Africa, particularly in landlocked areas distant from marine sources of iodine. Hashimoto's thyroiditis and Graves' disease are autoimmune thyroid disorders. Toxic multinodular goiter is characterized by multiple hyperfunctioning thyroid nodules. Thyroid cancer may present with a palpable thyroid nodule but is less commonly associated with diffuse thyroid enlargement.",5,D,Hashimoto's thyroiditis,Graves' disease,Toxic multinodular goiter,Simple (nontoxic) goiter,Thyroid cancer,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following conditions is characterized by an abnormal enlargement of the thyroid gland, often resulting in a visibly enlarged neck, and is endemic in certain regions of Africa due to dietary iodine deficiency?
###Options:
A.  Hashimoto's thyroiditis
B.  Graves' disease
C.  Toxic multinodular goiter
D.  Simple (nontoxic) goiter
E.  Thyroid cancer

###Answer:","D

Explanation: Simple (nontoxic) goiter is an enlargement of the thyroid gland caused by an inadequate supply of iodine. It is characterized by an abnormal enlargement of the thyroid gland, often resulting in a visibly enlarged neck. Simple goiter is endemic in certain regions of Africa due to dietary iodine deficiency. Hashimoto's thyroiditis is an autoimmune disease that results in inflammation of the thyroid gland. It is characterized by an enlarged thyroid gland, hypothyroidism, and the presence of anti-thyroid antibodies in the blood. Graves' disease is an autoimmune disease that results in hyperthyroidism and an enlarged thyroid gland. It is characterized by the presence of anti-thyroid antibodies in the blood. Toxic multinodular goiter is a condition in which the thyroid gland becomes enlarged due to the presence of multiple nodules, each of which produces excess thyroid hormone. Thyroid cancer is a malignant tumor of the thyroid gland. It is characterized by an enlarged thyroid gland, the presence of a nodule in the thyroid gland, and the presence of anti-thyroid antibodies in the blood.",D,True,0.46511627407727907,0.13978494134986721,0.44961239810828674,0.86757594,0.89804065,0.8825455
67351c580446820415846e4246ba2f3464ed382c3f300453840993c4bf842d12,"Which of the following infectious diseases, endemic to certain regions of Africa, is caused by the bacterium Mycobacterium leprae and primarily affects the skin, nerves, and mucous membranes?","Leprosy, also known as Hansen's disease, is a chronic infectious disease caused by Mycobacterium leprae. It primarily affects the skin, peripheral nerves, mucous membranes of the upper respiratory tract, and eyes. Leprosy is endemic in several regions of Africa, Asia, and Latin America. Tuberculosis, caused by Mycobacterium tuberculosis, primarily affects the lungs but can involve other organs as well. Yaws is a tropical disease caused by the bacterium Treponema pallidum pertenue. Buruli ulcer disease is caused by Mycobacterium ulcerans and primarily affects the skin and subcutaneous tissue. Lymphatic filariasis is caused by filarial worms transmitted by mosquitoes and primarily affects the lymphatic system.",5,B,Tuberculosis,Leprosy,Yaws,Buruli ulcer disease,Lymphatic filariasis,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following infectious diseases, endemic to certain regions of Africa, is caused by the bacterium Mycobacterium leprae and primarily affects the skin, nerves, and mucous membranes?
###Options:
A.  Tuberculosis
B.  Leprosy
C.  Yaws
D.  Buruli ulcer disease
E.  Lymphatic filariasis

###Answer:","B
Explanation: 
Leprosy is caused by the bacterium Mycobacterium leprae. It is primarily a disease of the skin, nerves, and mucous membranes, and is endemic in certain regions of Africa, Asia, and South America. Tuberculosis is caused by Mycobacterium tuberculosis, and is primarily a disease of the lungs, but can affect other organs. Yaws is caused by Treponema pallidum pertenue, and is primarily a disease of the skin and bones, and is endemic in certain regions of Africa and South America. Buruli ulcer disease is caused by Mycobacterium ulcerans, and is primarily a disease of the skin, and is endemic in certain regions of Africa, Asia, and South America. Lymphatic filariasis is caused by Wuchereria bancrofti, and is primarily a disease of the lymphatic system, and is endemic in certain regions of Africa, Asia, and South America.",B,True,0.6166666617555555,0.3670886026341933,0.6166666617555555,0.9209885,0.9284031,0.9246809
b0b91d118616037284a08889d727235b526dacb738d273673c6e8122558ef6fc,Which of the following is a viral hemorrhagic fever that is endemic to certain regions of Africa and is transmitted to humans through contact with infected rodents or their urine?,"Lassa fever is a viral hemorrhagic fever caused by the Lassa virus, which is primarily transmitted to humans through contact with urine or feces of infected Mastomys rodents. It is endemic to several West African countries and can lead to severe illness, including hemorrhagic fever and multi-organ failure. Ebola virus disease, Marburg virus disease, and Rift Valley fever are also viral hemorrhagic fevers found in Africa, but they are transmitted through different mechanisms and are associated with distinct viral pathogens.",5,B,Ebola virus disease,Lassa fever,Marburg virus disease,Rift Valley fever,Typhoid,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following is a viral hemorrhagic fever that is endemic to certain regions of Africa and is transmitted to humans through contact with infected rodents or their urine?
###Options:
A.  Ebola virus disease
B.  Lassa fever
C.  Marburg virus disease
D.  Rift Valley fever
E.  Typhoid

###Answer:","B

Rationale: Lassa fever is a viral hemorrhagic fever that is endemic to certain regions of Africa and is transmitted to humans through contact with infected rodents or their urine. The virus is transmitted to humans through contact with infected rodents or their urine, and the disease can be severe and fatal. Symptoms of Lassa fever include fever, muscle pain, headache, and in severe cases, bleeding from the mouth, nose, and eyes. The disease is treated with supportive care, including hydration and management of complications. Prevention of Lassa fever involves rodent control measures and proper hygiene practices.

",B,True,0.409836060585864,0.16249999501250018,0.37704917533996246,0.8767702,0.87777495,0.8772723
1972fbe11f6249de5461c7836698bd1d7d17a244eb7bdbd973b78c442f2348f6,Ms XY is a primigravida who is 30 weeks pregnant. She presents toA   E with acute onset of shortness of breath and chest pain. Shehas just travelled via a long-haul flight (12 h) to Kenya. Which of thefollowing investigations is not appropriate in the investigation of asuspected pulmonary embolus in pregnancy?,A CTPA exposes a pregnant woman to very high amounts of x-rays. This is teratogenic to the unborn fetus.,5,E,V/Q Scan.,CXR.,D-Dimer..,ECG.,CTPA.,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Ms XY is a primigravida who is 30 weeks pregnant. She presents toA   E with acute onset of shortness of breath and chest pain. Shehas just travelled via a long-haul flight (12 h) to Kenya. Which of thefollowing investigations is not appropriate in the investigation of asuspected pulmonary embolus in pregnancy?
###Options:
A.  V/Q Scan.
B.  CXR.
C.  D-Dimer..
D.  ECG.
E.  CTPA.

###Answer:","A. V/Q Scan.

Rationale: 
V/Q scan is not recommended for the investigation of pulmonary embolus in pregnancy. The risks of radiation exposure to the fetus outweigh the benefits of the investigation. The other options are all appropriate in the investigation of a suspected pulmonary embolism in pregnancy.",A,False,0.2799999953920001,0.03333332913333387,0.2399999953920001,0.841807,0.8734362,0.85732996
480181ec8fcb02bc808bc61fc3ab24c25bd846aaae1626a5368428033917f0f7,"A 25-year-old woman comes to the office because of a 3-day history of fever, chills, severe headache, weakness, muscle pain, loss of appetite, vomiting, diarrhea, and moderate abdominal pain. She is in nursing school and returned from a medical missions trip in West Africa 10 days ago. Her symptoms began abruptly while she was shopping in a supermarket after her return. Temperature is 39.0°C (102.2°F), pulse is 100/min, respirations are 22/min, and blood pressure is 110/70 mm Hg. The patient appears ill and in mild respiratory distress. Physical examination discloses poor skin turgor and hyperactive bowel sounds. Muscle strength is 4/5 throughout. Laboratory studies show leukopenia and thrombocytopenia. Which of the following is the most sensitive and specific test for detection of the suspected viral genome in this patient?","Given the patient's recent travel history to West Africa and the symptoms suggestive of viral hemorrhagic fever, such as fever, chills, headache, weakness, and thrombocytopenia, the most sensitive and specific test for detection of the suspected viral genome would be (C) Reverse transcription-polymerase chain reaction (RT-PCR) test.",5,C,Microarray analysis,Northern blot,Reverse transcription-polymerase chain reaction test,Southern blot,Western blot,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A 25-year-old woman comes to the office because of a 3-day history of fever, chills, severe headache, weakness, muscle pain, loss of appetite, vomiting, diarrhea, and moderate abdominal pain. She is in nursing school and returned from a medical missions trip in West Africa 10 days ago. Her symptoms began abruptly while she was shopping in a supermarket after her return. Temperature is 39.0°C (102.2°F), pulse is 100/min, respirations are 22/min, and blood pressure is 110/70 mm Hg. The patient appears ill and in mild respiratory distress. Physical examination discloses poor skin turgor and hyperactive bowel sounds. Muscle strength is 4/5 throughout. Laboratory studies show leukopenia and thrombocytopenia. Which of the following is the most sensitive and specific test for detection of the suspected viral genome in this patient?
###Options:
A.  Microarray analysis
B.  Northern blot
C.  Reverse transcription-polymerase chain reaction test
D.  Southern blot
E.  Western blot

###Answer:",C,C,True,0.0,0.0,0.0,0.8170305,0.7454661,0.77960944
9fbe4134a572e8e2c8fc66ec8b5d578b9a920de63143be9129729b462ae70a92,The following diseases must be screened for in blood for transfusion in Kenya;,"Hepatitis, Hiv and Syphillis screening are mandatory for blood transfusion in Kenya.",4,D,Hepatitis,HIV,Syphillis,All of the above,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: The following diseases must be screened for in blood for transfusion in Kenya;
###Options:
A.  Hepatitis
B.  HIV
C.  Syphillis
D.  All of the above

###Answer:",D,D,True,0.0,0.0,0.0,0.8230172,0.74390876,0.78146595
5973b65cc72965bbd94cc61f141722c44a574fcbe80a0c0ff815cfd5bbaea136,Acceptable blood donors in Kenya do not include:,Commercial blood donors are not allowed in Kenya,5,C,Patient called donor,Voluntary call responsive,Commercial,Autologous,Voluntary walk in,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Acceptable blood donors in Kenya do not include:
###Options:
A.  Patient called donor
B.  Voluntary call responsive
C.  Commercial
D.  Autologous
E.  Voluntary walk in

###Answer:","C
Rationale: A commercial donor is someone who donates blood for financial reward. 
Commercial blood donors are not acceptable in Kenya. They are considered to be a source of HIV and other blood borne diseases.

",C,True,0.3414634114931589,0.23809523531746032,0.3414634114931589,0.8479519,0.9185059,0.8818199
2311d9a9e7bb66677a3b560f2a88a7c528bf8fdb478087d9d81e722ee41f8388,"Which of the following conditions, prevalent in Africa, is characterized by the abnormal growth of cells in the prostate gland, leading to symptoms such as urinary frequency, urgency, hesitancy, weak urinary stream, and nocturia?","Benign prostatic hyperplasia (BPH) is a common condition in aging men, characterized by the non-cancerous enlargement of the prostate gland. BPH can cause compression of the urethra, leading to urinary symptoms such as frequency, urgency, hesitancy, weak urinary stream, and nocturia. BPH is prevalent in Africa and can significantly affect quality of life if left untreated. Prostatitis is inflammation of the prostate gland and can present with similar urinary symptoms but is often associated with pain or discomfort in the pelvic area. Prostate cancer is a malignancy of the prostate gland and may also cause urinary symptoms, along with other systemic manifestations. Epididymitis is inflammation of the epididymis, often secondary to infection, and presents with scrotal pain and swelling. Testicular cancer is a malignancy of the testes and typically presents with a painless testicular mass.",5,C,Prostatitis,Prostate cancer,Benign prostatic hyperplasia (BPH),Epididymitis,Testicular cancer,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following conditions, prevalent in Africa, is characterized by the abnormal growth of cells in the prostate gland, leading to symptoms such as urinary frequency, urgency, hesitancy, weak urinary stream, and nocturia?
###Options:
A.  Prostatitis
B.  Prostate cancer
C.  Benign prostatic hyperplasia (BPH)
D.  Epididymitis
E.  Testicular cancer

###Answer:","C.  Benign prostatic hyperplasia (BPH)
Rationale: Benign prostatic hyperplasia (BPH) is a condition that affects men as they age, causing the prostate gland to enlarge. This enlargement can lead to symptoms such as urinary frequency, urgency, hesitancy, weak urinary stream, and nocturia. These symptoms can be distressing and impact quality of life. While BPH is not cancerous, it can lead to complications such as urinary tract infections and bladder stones. Treatment options for BPH include watchful waiting, medications, minimally invasive procedures, and surgery. It is important for men to be aware of the symptoms of BPH and to seek medical attention if they are experiencing any of these symptoms.",C,True,0.37179486680802104,0.18604650664618724,0.37179486680802104,0.8932507,0.8726696,0.8828402
2ea6139fdc9b2998470f3d7d8efa48e722a6dbde660bf25485f8e1f7bc9fbaa3,"Which of the following conditions, prevalent in Africa, is characterized by the formation of multiple, fluid-filled cysts in the kidneys, leading to progressive renal dysfunction and eventual kidney failure?"," Polycystic kidney disease (PKD) is a genetic disorder characterized by the formation of multiple fluid-filled cysts in the kidneys. These cysts can gradually enlarge, leading to compression of surrounding renal tissue and progressive renal dysfunction. PKD is prevalent in Africa and can ultimately result in kidney failure if left untreated. Glomerulonephritis is inflammation of the glomeruli, the filtering units of the kidneys, and can lead to kidney damage. Nephrolithiasis refers to the formation of kidney stones, which can cause obstruction and renal colic. Pyelonephritis is inflammation and infection of the kidney parenchyma, often secondary to ascending urinary tract infections. Renal cell carcinoma is a type of kidney cancer.",5,A,Polycystic kidney disease,Glomerulonephritis,Nephrolithiasis,Pyelonephritis,Renal cell carcinoma,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following conditions, prevalent in Africa, is characterized by the formation of multiple, fluid-filled cysts in the kidneys, leading to progressive renal dysfunction and eventual kidney failure?
###Options:
A.  Polycystic kidney disease
B.  Glomerulonephritis
C.  Nephrolithiasis
D.  Pyelonephritis
E.  Renal cell carcinoma

###Answer:","A
Polycystic kidney disease is a genetic disorder characterized by the formation of multiple, fluid-filled cysts in the kidneys, leading to progressive renal dysfunction and eventual kidney failure. The condition is prevalent in Africa and other parts of the world, and it is caused by mutations in the PKD1 and PKD2 genes. The disease is inherited in an autosomal dominant pattern, meaning that if one parent has the disease, there is a 50% chance that the child will inherit the disease. Treatment options for polycystic kidney disease include medication to manage symptoms and slow the progression of the disease, as well as dialysis or kidney transplantation in advanced cases.

Rationale:
Polycystic kidney disease is a genetic disorder characterized by the formation of multiple, fluid-filled cysts in the kidneys, leading to progressive renal dysfunction and eventual kidney failure. The condition is prevalent in Africa and other parts of the world, and it is caused by mutations in the PKD1 and PKD2 genes. The disease is inherited in an autosomal dominant pattern, meaning that if one parent has the disease, there is a 50% chance that the child will inherit the disease. Treatment options for polycystic kidney disease include medication to manage symptoms and slow the progression of the disease, as well as dialysis or kidney transplantation in advanced cases.

Explanation:
Polycystic kidney disease is a genetic disorder characterized by the formation of multiple, fluid-filled cysts in the",A,True,0.35862068466682523,0.224390238908269,0.35862068466682523,0.83246034,0.84004366,0.8362348
09cbeee45181ee6a8b98880fd5beb1e7e63bce5cdaad8bec3f56f3aef56ef024,"Which of the following conditions, prevalent in Africa, is characterized by a chronic, relapsing inflammatory skin disorder with erythematous, scaly plaques, often affecting extensor surfaces and the scalp?"," Psoriasis is a chronic inflammatory skin disorder characterized by erythematous, scaly plaques, typically affecting extensor surfaces such as the elbows and knees, as well as the scalp. It can present with itching, pain, and discomfort. Psoriasis is prevalent in Africa and can significantly impact the quality of life of affected individuals. Eczema, also known as atopic dermatitis, is another inflammatory skin condition characterized by pruritic, erythematous patches, often with oozing and crusting. Dermatophytosis, or ringworm, is a fungal infection of the skin, hair, or nails. Scabies is caused by the Sarcoptes scabiei mite and presents with intense itching and a characteristic rash. Contact dermatitis is inflammation of the skin triggered by contact with irritants or allergens.",5,B,Eczema,Psoriasis,Dermatophytosis,Scabies,Contact dermatitis,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following conditions, prevalent in Africa, is characterized by a chronic, relapsing inflammatory skin disorder with erythematous, scaly plaques, often affecting extensor surfaces and the scalp?
###Options:
A.  Eczema
B.  Psoriasis
C.  Dermatophytosis
D.  Scabies
E.  Contact dermatitis

###Answer:",B,B,True,0.0,0.0,0.0,0.81014675,0.7345865,0.7705186
