sample_id,question,rationale,model_prompt,outputs,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore_Precision,BERTScore_Recall,BERTScore_F1
24c2dfd2df3897989f3e3d3f4f0227b187f46fb9151a371d420629d0a96bbeb0,Which mosquito-borne disease is a leading cause of death in Africa? ,"Malaria, caused by the Plasmodium parasite, is a leading cause of death in Africa.","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: Which mosquito-borne disease is a leading cause of death in Africa? 
###Answer:", Malaria is a mosquito-borne disease that is a leading cause of death in Africa.,0.6153846104142012,0.559999995008,0.6153846104142012,0.95527095,0.9185272,0.9365388
048665be6cd9131df29552367ed6c0babd13c28c10a35701085b94dd6327bfce,What is a common traditional remedy for stomach ailments in Africa?,Drinking ginger or peppermint tea is a common traditional remedy for stomach issues in Africa.,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: What is a common traditional remedy for stomach ailments in Africa?
###Answer:", A common traditional remedy for stomach ailments in Africa is to eat garlic.,0.5714285664540818,0.38461537964497045,0.4999999950255103,0.9447135,0.9262713,0.9354015
22ccd202f44c10f1d4a42d5e737b64912d24b6b2a2a2a2b03d404f265851981f,"What is the most common gynecologic malignancy in African women?
","Cervical cancer is the most common gynecologic malignancy in African women, with high incidence rates attributed to persistent human papillomavirus (HPV) infection, limited access to screening programs, and sociocultural factors. Prevention strategies include HPV vaccination and cervical cancer screening.","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: What is the most common gynecologic malignancy in African women?

###Answer:", Cervical cancer is the most common malignancy in women in Africa. The incidence of cervical cancer in Africa is about 30% of the world's total.,0.3773584860804557,0.22950819202364964,0.3396226370238519,0.9276402,0.8657571,0.89563096
38a71f650d2f05c944e41a4a89a2acfa19dbfd4a11b8669291dd68445fc1c14d,What is the primary method used for diagnosing hemolytic anemia associated with thrombotic thrombocytopenic purpura (TTP) in Africa? ,Measurement of ADAMTS13 activity and presence of ADAMTS13 inhibitors is the primary method used for diagnosing hemolytic anemia associated with thrombotic thrombocytopenic purpura (TTP) in Africa. This can be done using enzyme-linked immunosorbent assays (ELISAs) or functional assays.,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: What is the primary method used for diagnosing hemolytic anemia associated with thrombotic thrombocytopenic purpura (TTP) in Africa? 
###Answer:", OPTION A IS CORRECT.,0.0,0.0,0.0,0.79956615,0.7633916,0.7810602
3dab367ad95409be910b2bb7cc83e638b6cb7f5dac3c3275fe5189ed4712d0ed,"How do cultural beliefs and social norms influence the prevalence and management of chronic diseases such as diabetes and hypertension in Africa, and what strategies can be implemented to promote preventive behaviors and improve disease management?","Cultural beliefs and social norms play a significant role in shaping perceptions of chronic diseases like diabetes and hypertension in Africa. Stigma, fear of diagnosis, and reliance on traditional healers may deter individuals from seeking early diagnosis and adhering to treatment regimens. Cultural dietary practices, physical activity patterns, and health-seeking behaviors also impact disease management outcomes. Strategies to promote preventive behaviors and improve disease management involve community engagement, culturally tailored health education programs, integration of traditional healing practices with modern healthcare services, training of community health workers, and decentralization of chronic disease management services to primary care settings. Empowering individuals and communities to make healthy lifestyle choices, addressing socio-economic inequalities, and strengthening healthcare systems are crucial for mitigating the burden of chronic diseases in Africa.","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: How do cultural beliefs and social norms influence the prevalence and management of chronic diseases such as diabetes and hypertension in Africa, and what strategies can be implemented to promote preventive behaviors and improve disease management?
###Answer:", OPTION C IS CORRECT.,0.0,0.0,0.0,0.80162823,0.78516686,0.7933122
78b1291aaec5e1716a658dfa6fed3cc58782a4c87c73f268fda79edac5b81a9d,What is the most common cause of pediatric pneumonia in Africa? ,"Respiratory syncytial virus (RSV) is a common cause of pediatric pneumonia in Africa, particularly in infants and young children.","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: What is the most common cause of pediatric pneumonia in Africa? 
###Answer:", Streptococcus pneumoniae is the most common cause of pediatric pneumonia in Africa.,0.46666666186666667,0.3448275814982165,0.46666666186666667,0.90268046,0.8696012,0.88583213
ee9839f503b4adce608c3a6d6a36d2e8b97cee86de9b918766ca1a94c0464cc5,"Explain the diagnostic approach and management of common gastrointestinal disorders, such as peptic ulcer disease and gastroenteritis, in Nigerian patients.","Answer: Peptic ulcer disease is commonly caused by Helicobacter pylori infection or non-steroidal anti-inflammatory drugs (NSAIDs) in Nigeria. Diagnosis involves upper endoscopy and H. pylori testing. Management includes proton pump inhibitors, H. pylori eradication therapy, and avoidance of NSAIDs. Gastroenteritis is typically managed with rehydration therapy, antiemetics, and antibiotics in severe cases, with consideration of local antimicrobial resistance patterns.","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: Explain the diagnostic approach and management of common gastrointestinal disorders, such as peptic ulcer disease and gastroenteritis, in Nigerian patients.
###Answer:", OPTION D IS CORRECT.,0.0,0.0,0.0,0.80829006,0.77417415,0.79086435
ed8dcd8db10365f787bd64b4cc98629e9f18a7769bff80b900c94c26f963e643,How does the prevalence of anemia vary across different age groups in Africa?,"Anemia prevalence varies across age groups, with higher rates observed among children under five, pregnant women, and elderly populations in Africa.","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: How does the prevalence of anemia vary across different age groups in Africa?
###Answer:"," The prevalence of anemia varies across different age groups in Africa. In children aged 6-59 months, the prevalence of anemia is 40.8% in the WHO African region. In children aged 6-14 years, the prevalence of anemia is 28.4% in the WHO African region. In non-pregnant women of reproductive age, the prevalence of anemia is ",0.2692307644156805,0.06896551272294917,0.2692307644156805,0.85037607,0.8970741,0.8731011
c5a15b201d3bfb15ac7b709966bd25d8fce0c550fabe3392ac915d30b9d26bf3,What traditional remedies are used for pain management in African cultures?,"Traditional remedies may include herbal teas, topical ointments, and massage techniques using plants such as ginger, turmeric, or aloe vera.","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: What traditional remedies are used for pain management in African cultures?
###Answer:"," In many African cultures, pain is not viewed as a medical problem requiring treatment. Instead, it is believed that pain is a natural response to injury and is a sign that the body is trying to heal. In addition, many Africans believe that pain is a curse from God and that it is a sign that one has done something to deserve it. Therefore, many Africans do not view pain as a medical problem requiring treatment and will often rely on traditional remedies before seeking",0.08571428163265325,0.0,0.05714285306122478,0.8286824,0.8241241,0.82639694
0bfd988c5545a50fa4af467c34c9201b48480babbd04132f79c4e9dbf68c46d5,"What is the recommended first-line treatment for endometrial hyperplasia without atypia in African women who desire fertility preservation?
","Progestin therapy is the recommended first-line treatment for endometrial hyperplasia without atypia in African women who desire fertility preservation. Oral or intrauterine progestin regimens induce endometrial decidualization, promoting glandular apoptosis and regression of hyperplastic lesions.
","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: What is the recommended first-line treatment for endometrial hyperplasia without atypia in African women who desire fertility preservation?

###Answer:", Conservative treatment with progestin is recommended for all reproductive-age African women with endometrial hyperplasia without atypia who desire fertility preservation.,0.555555550994513,0.25925925469821676,0.44444443988340193,0.93605006,0.8889195,0.9118762
