sample_id,question,rationale,answer,A,B,C,D,E,outputs,preds,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,ROUGE-1,ROUGE-2,ROUGE-L,correct
4dcef5829a86c0ddf499c426963554b65274f5b729415cbb7d8c586b4b83f846,Which of the following statements accurately reflects the management approach for a 62-year-old obese woman with hypertension and type 2 diabetes mellitus who experiences vaginal bleeding for the first time since her menopause 11 years ago?,"In a postmenopausal woman, particularly one with diabetes, obesity, and hypertension, there is a heightened risk of endometrial cancer that warrants investigation and exclusion.",C,She probably has fibroids,The woman's symptoms are most likely due to the presence of an arteriovenous malformation in the uterine wall.,"She should undergo evaluation with a pelvic examination and transvaginal ultrasound, and referral for endometrial sampling is necessary.",She has engaged in energetic sexual intercourse,N/A,"C. She should undergo evaluation with a pelvic examination and transvaginal ultrasound, and referral for endometrial sampling is necessary.

Rationale: Given the patient's age, obesity, hypertension, and diabetes, she is at an increased risk for endometrial hyperplasia and cancer, which can present with postmenopausal bleeding. A pelvic examination and transvaginal ultrasound are appropriate initial steps to evaluate the cause of the bleeding, and endometrial sampling is necessary to rule out malignancy.",C,0.8646009,0.9118497,0.8875969,0.29729729311906505,0.0,0.243243239065011,True
55ff48261c6b29f906f29c69ce8167a28f76390864d5670b92e3a472b367ad1f,Which of the following is the most common cause of acute respiratory distress syndrome (ARDS) in malaria-endemic regions of Africa?,"In malaria-endemic regions of Africa, severe malaria, especially caused by Plasmodium falciparum, is a leading cause of acute respiratory distress syndrome (ARDS) due to its ability to induce widespread endothelial damage and capillary leak syndrome.",D,Pneumonia,Tuberculosis,Pulmonary embolism,Malaria,Sickle cell disease,"D. Malaria

Rationale: In malaria-endemic regions, malaria itself can cause ARDS due to the severe inflammatory response and capillary leakage it can induce in the lungs.",D,0.88908744,0.85561824,0.8720318,0.3214285665306123,0.1016949103705834,0.24999999510204088,True
da4c5d13cf0246b7b9594a2752c1d783492f52234748f8d27be5a79afdc3152a,"51-year-old man with a 10-year history of gastroesophageal reflux and suspected Barrett esophagus comes to the office because his omeprazole dose ""doesn't work around the Christmas holidays."" He states that he prides himself on having a large appetite and ""holding his liquor"" during the holidays. He currently takes the maximum dose of omeprazole. Which of the following is the most appropriate initial action by the physician?","Given the patient's symptoms worsening specifically during the holidays despite taking the maximum dose of omeprazole, it is important to assess potential contributing factors such as excessive eating and drinking, which can exacerbate gastroesophageal reflux. Understanding the patient's behavior during the holidays can guide further management decisions. Therefore, option (A) is the most appropriate initial action.",A,Ask the patient how much he is eating and drinking during the holidays,Explain the hazards of untreated reflux in the presence of Barrett esophagus,Order an upper endoscopy,Switch the omeprazole to pantoprazole,Refer the patient to a gastroenterologist,"C. Order an upper endoscopy


The patient has a long-standing history of gastroesophageal reflux disease (GERD) and is suspected to have Barrett esophagus, a condition that increases the risk of esophageal cancer. The fact that his symptoms worsen during the holidays despite maximum omeprazole therapy suggests that his condition may not be adequately controlled. An upper endoscopy is the most appropriate initial action to assess the esophagus for dysplasia or cancer, especially given the chronicity of his symptoms and the presence of Barrett esophagus.",C,0.87007225,0.89610404,0.8828963,0.31775700444405625,0.15151514674012873,0.28037382687396284,False
5f4051b9a5c19f5073993b357e5e2849f3e2990108981ec8f4ec3aa07ff87d7d,"Regarding the pathophysiology of myasthenia gravis, what is/are the possible mechanisms by which acetylcholine receptor antibodies interfere with neuromuscular transmission?",All three are mechanisms of anti-acetylcholine receptor antibodies.,D,Binding to the acetylcholine receptor and blocking the binding of acetylcholine,"Cross-linking acetylcholine receptors, thereby increasing their rate of internalization",Binding of complement resulting in destruction of the muscle end plate,All of the above,None of the above,D,D,0.82975894,0.7751936,0.8015487,0.0,0.0,0.0,True
4b4a7a952553f6dea5427e115809cf5c558ca9288d02cfcc74263e5132ec2887,What is the recommended vaccination to prevent shingles (herpes zoster) in older adults?,"The zoster (shingles) vaccine is recommended for older adults to prevent shingles, a painful rash caused by reactivation of the varicella-zoster virus.",E,DTaP,MMR,Influenza,Pneumococcal vaccine,Zoster (shingles) vaccine,"E. Zoster (shingles) vaccine

Rationale: The Zoster vaccine is specifically designed to prevent shingles (herpes zoster) in older adults by boosting their immunity against the varicella-zoster virus, which causes both chickenpox and shingles.",E,0.89761794,0.9260032,0.9115896,0.42307691819526627,0.18867924049839813,0.3076923028106509,True
265049d633cd0f3229d266a5284aa104eba52196034cb16afe7a0a70bac253f6,"A 34-year-old man presents with a 1-week history of muscle aches, fatigue, and fever that occurs every 2 days. His history is significant for a trip to Nepal. Vital signs are temperature 39°C (102.2°F), heart rate 102 bpm, respiratory rate 22 breaths/min, and blood pressure 108/74 mm Hg. Physical examination reveals icterus and splenomegaly. Laboratory results are hemoglobin 11 g/dL and the peripheral smear shows erythrocytes with brick-red granules. A presumptive diagnosis is made and the patient is hospitalized and started on appropriate therapy. On the 3rd hospital day, the develops a sudden increase in heart rate. An electrocardiogram is obtained (see below). What was the most likely drug administered?

","A patient with recent travel history, cyclical fever, and brick red granules (Schüffner stippling) in erythrocytes suggests the diagnosis of malaria. The patient was most likely treated with chloroquine, a quinoline derivative that is a first-line agent for Plasmodium vivax and P. ovale infections. Chloroquine can cause marked QT prolongation and can cause severe ventricular arrhythmias like torsades de pointes.

Patients on antimalarials should be monitored with an ECG regularly. The common side effect of chloroquine is gastrointestinal upset (GI), headache, blurred vision, and insomnia.

Doxycycline and tetracycline are usually well-tolerated, but some GI upset can be seen and, less commonly, ultraviolet photosensitivity

Metronidazole and pyrimethamine drugs are not effective against malaria.",D,Metronidazole,Pyrimethamine,ciprofloxacin,Chloroquine,Doxycycline,"E. Doxycycline

Rationale: The patient's symptoms and travel history to Nepal, along with the presence of brick-red granules in erythrocytes (which suggests malaria), point towards a diagnosis of malaria. Doxycycline is an antimalarial medication commonly used for prophylaxis and treatment of malaria, which aligns with the patient's presentation and the sudden increase in heart rate, a possible complication of malaria.",E,0.87715113,0.8250951,0.8503272,0.24285713839693887,0.03592813921617898,0.22857142411122455,False
8bc767a7f2a0145642eb2052ff5cac54048fd52037d431b8072a502238b1523b,Which type of immune cell is primarily responsible for coordinating and regulating immune responses by releasing signaling molecules (cytokines)?,"T cells (T lymphocytes) play a central role in adaptive immunity by recognizing antigens, coordinating immune responses, and producing cytokines to activate other immune cells.",C,Macrophages,Dendritic cells,T cells,B cells,Natural killer cells,"C. T cells

Rationale: T cells, specifically helper T cells, are primarily responsible for coordinating and regulating immune responses by releasing cytokines, which are signaling molecules that help to modulate the immune system.",C,0.88639045,0.9043212,0.89526606,0.27450979896962713,0.03636363144462877,0.23529411269511738,True
41704f00810cf3a6d3d6fa04fa6b9cdaaba8bbc635225b206d003afcec1bbd87,Which of the following hormones is  secreted by the beta cells of the pancreas and stimulates the uptake of glucose by the cells,Insulin is responsible for the rise in blood glucose levels after meals.It promotes the uptake of glucose by muscles and fat cells thereby lowering blood glucose levels,D,Glucagon,epinephrine,Somatostatin,Insulin,Progesterone,"D. Insulin

Rationale: Insulin is the hormone produced by the beta cells of the pancreas that facilitates the uptake of glucose by the body's cells, thereby lowering blood glucose levels.",D,0.88780165,0.9168373,0.90208596,0.5333333283358025,0.33962263652545394,0.48888888389135804,True
b54ad40386e61a6e25d4e6d90ac7890bef312ec4f3b1231f630acf3323bd9503,"Which condition is characterized by sudden, temporary weakness or paralysis on one side of the body?",Hemiplegia refers to weakness or paralysis affecting one side of the body and is often associated with conditions like stroke or brain injury.,C,Epilepsy,Migraine,Hemiplegia,Bell's palsy,Parkinson's disease,"C. Hemiplegia

Rationale: Hemiplegia refers to paralysis affecting one side of the body, often caused by brain injuries such as a stroke, which aligns with the description of sudden, temporary weakness or paralysis on one side of the body. The other options do not typically present with this specific symptom.",C,0.8768036,0.920025,0.8978945,0.47619047164525075,0.29411764268166096,0.3809523764071554,True
8ea1d0fb5473b044285b1ed35394d8e165517c54fb13b61240909969596f48fa,Type II respiratory failure occurs when alveolar ventilation is insufficient to excrete the carbon dioxide being produced. Which of the following is the most important cause for type II respiratory failure in myasthenia gravis?,"The most important cause for type II respiratory failure in myasthenia gravis is early fatigue of inspiratory muscles.Myasthenia gravis (MG) is an autoimmune disorder characterized by muscle weakness and fatigue, particularly in the voluntary muscles. In the context of respiratory function, weakness and fatigue of the respiratory muscles, including the diaphragm and other inspiratory muscles, can lead to inadequate ventilation. This inadequate ventilation results in impaired clearance of carbon dioxide (CO2), leading to type II respiratory failure (hypercapnic respiratory failure).While other factors such as increased resistance to ventilation or depression of the dorsal respiratory group of neurons may contribute to respiratory dysfunction in certain conditions, early fatigue of inspiratory muscles is the primary mechanism responsible for type II respiratory failure in myasthenia gravis.",D,Increased resistance to ventilation,Pulmonary vasoconstriction,Increased vagal stimulation of pontine centres,Early fatigue of inspiratory muscles,Depression of dorsal respiratory group of neurons,"D. Early fatigue of inspiratory muscles

Myasthenia gravis is characterized by weakness and rapid fatigue of voluntary muscles, which includes the muscles involved in breathing. When the inspiratory muscles fatigue early, it leads to inadequate ventilation and thus to type II respiratory failure due to the inability to excrete carbon dioxide effectively.",D,0.91426456,0.8804208,0.89702356,0.4247787564883703,0.19354838277294495,0.38938052639987475,True
