Unnamed: 0,sample_id,split,age_group,gender,discipline,clinical_experience,country,question_type,prompt,question,answer_options,correct_answer,answer_rationale,question_source,specialty,region_specific,neg_percent,quality,rated_african,rated_correct,rated_omission,rated_hallucination,rated_reasonable,rated_harmful,rated_bias,preds
0,4dcef5829a86c0ddf499c426963554b65274f5b729415cbb7d8c586b4b83f846,train,41-55,Male,Medicine,Resident,NG,mcq,,Which of the following statements accurately reflects the management approach for a 62-year-old obese woman with hypertension and type 2 diabetes mellitus who experiences vaginal bleeding for the first time since her menopause 11 years ago?,"{""option1"": ""She probably has fibroids"", ""option2"": ""The woman's symptoms are most likely due to the presence of an arteriovenous malformation in the uterine wall."", ""option3"": ""She should undergo evaluation with a pelvic examination and transvaginal ultrasound, and referral for endometrial sampling is necessary."", ""option4"": ""She has engaged in energetic sexual intercourse"", ""option5"": ""N/A""}",option3,"In a postmenopausal woman, particularly one with diabetes, obesity, and hypertension, there is a heightened risk of endometrial cancer that warrants investigation and exclusion.",Rivers State University,Obstetrics_and_Gynecology,,1.0,,,,,,,,,
1,55ff48261c6b29f906f29c69ce8167a28f76390864d5670b92e3a472b367ad1f,train,26-40,Female,Nursing,Student,NG,mcq,,Which of the following is the most common cause of acute respiratory distress syndrome (ARDS) in malaria-endemic regions of Africa?,"{""option1"": ""Pneumonia"", ""option2"": ""Tuberculosis"", ""option3"": ""Pulmonary embolism"", ""option4"": ""Malaria"", ""option5"": ""Sickle cell disease""}",option4,"In malaria-endemic regions of Africa, severe malaria, especially caused by Plasmodium falciparum, is a leading cause of acute respiratory distress syndrome (ARDS) due to its ability to induce widespread endothelial damage and capillary leak syndrome.",Niger Delta University,Emergency_Medicine,Yes,1.0,,,,,,,,,
2,da4c5d13cf0246b7b9594a2752c1d783492f52234748f8d27be5a79afdc3152a,train,19-25,Male,Medicine,Student,TZ,mcq,,"51-year-old man with a 10-year history of gastroesophageal reflux and suspected Barrett esophagus comes to the office because his omeprazole dose ""doesn't work around the Christmas holidays."" He states that he prides himself on having a large appetite and ""holding his liquor"" during the holidays. He currently takes the maximum dose of omeprazole. Which of the following is the most appropriate initial action by the physician?","{""option1"": ""Ask the patient how much he is eating and drinking during the holidays"", ""option2"": ""Explain the hazards of untreated reflux in the presence of Barrett esophagus"", ""option3"": ""Order an upper endoscopy"", ""option4"": ""Switch the omeprazole to pantoprazole"", ""option5"": ""Refer the patient to a gastroenterologist""}",option1,"Given the patient's symptoms worsening specifically during the holidays despite taking the maximum dose of omeprazole, it is important to assess potential contributing factors such as excessive eating and drinking, which can exacerbate gastroesophageal reflux. Understanding the patient's behavior during the holidays can guide further management decisions. Therefore, option (A) is the most appropriate initial action.","Federation Of State Medical  Boards Of The United States, Inc. (Fsmb), And National  Board Of Medical Examiners® (Nbme®)",Internal_Medicine,,1.0,,,,,,,,,
3,5f4051b9a5c19f5073993b357e5e2849f3e2990108981ec8f4ec3aa07ff87d7d,train,26-40,Male,Medicine,Student,NG,mcq,,"Regarding the pathophysiology of myasthenia gravis, what is/are the possible mechanisms by which acetylcholine receptor antibodies interfere with neuromuscular transmission?","{""option1"": ""Binding to the acetylcholine receptor and blocking the binding of acetylcholine"", ""option2"": ""Cross-linking acetylcholine receptors, thereby increasing their rate of internalization"", ""option3"": ""Binding of complement resulting in destruction of the muscle end plate"", ""option4"": ""All of the above"", ""option5"": ""None of the above""}",option4,All three are mechanisms of anti-acetylcholine receptor antibodies.,Neurosurgery Practice Questions And Answers Second Edition.,Neurosurgery,,1.0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,4b4a7a952553f6dea5427e115809cf5c558ca9288d02cfcc74263e5132ec2887,train,19-25,Male,Medicine,Intern,NG,mcq,,What is the recommended vaccination to prevent shingles (herpes zoster) in older adults?,"{""option1"": ""DTaP"", ""option2"": ""MMR"", ""option3"": ""Influenza"", ""option4"": ""Pneumococcal vaccine"", ""option5"": ""Zoster (shingles) vaccine""}",option5,"The zoster (shingles) vaccine is recommended for older adults to prevent shingles, a painful rash caused by reactivation of the varicella-zoster virus.",Ubth,Internal_Medicine,,0.82,,,,,,,,,
5,265049d633cd0f3229d266a5284aa104eba52196034cb16afe7a0a70bac253f6,test,26-40,Male,Medicine,Licensed Professional,NG,mcq,,"A 34-year-old man presents with a 1-week history of muscle aches, fatigue, and fever that occurs every 2 days. His history is significant for a trip to Nepal. Vital signs are temperature 39°C (102.2°F), heart rate 102 bpm, respiratory rate 22 breaths/min, and blood pressure 108/74 mm Hg. Physical examination reveals icterus and splenomegaly. Laboratory results are hemoglobin 11 g/dL and the peripheral smear shows erythrocytes with brick-red granules. A presumptive diagnosis is made and the patient is hospitalized and started on appropriate therapy. On the 3rd hospital day, the develops a sudden increase in heart rate. An electrocardiogram is obtained (see below). What was the most likely drug administered?

","{""option1"": ""Metronidazole"", ""option2"": ""Pyrimethamine"", ""option3"": ""ciprofloxacin"", ""option4"": ""Chloroquine"", ""option5"": ""Doxycycline""}",option4,"A patient with recent travel history, cyclical fever, and brick red granules (Schüffner stippling) in erythrocytes suggests the diagnosis of malaria. The patient was most likely treated with chloroquine, a quinoline derivative that is a first-line agent for Plasmodium vivax and P. ovale infections. Chloroquine can cause marked QT prolongation and can cause severe ventricular arrhythmias like torsades de pointes.

Patients on antimalarials should be monitored with an ECG regularly. The common side effect of chloroquine is gastrointestinal upset (GI), headache, blurred vision, and insomnia.

Doxycycline and tetracycline are usually well-tolerated, but some GI upset can be seen and, less commonly, ultraviolet photosensitivity

Metronidazole and pyrimethamine drugs are not effective against malaria.",Mdcn,Cardiology,,0.08,,,,,,,,,
6,8bc767a7f2a0145642eb2052ff5cac54048fd52037d431b8072a502238b1523b,test,19-25,Male,Medicine,Intern,NG,mcq,,Which type of immune cell is primarily responsible for coordinating and regulating immune responses by releasing signaling molecules (cytokines)?,"{""option1"": ""Macrophages"", ""option2"": ""Dendritic cells"", ""option3"": ""T cells"", ""option4"": ""B cells"", ""option5"": ""Natural killer cells""}",option3,"T cells (T lymphocytes) play a central role in adaptive immunity by recognizing antigens, coordinating immune responses, and producing cytokines to activate other immune cells.",Ubth,Internal_Medicine,,0.82,,,,,,,,,
7,41704f00810cf3a6d3d6fa04fa6b9cdaaba8bbc635225b206d003afcec1bbd87,train,19-25,Male,Medicine,Student,NG,mcq,,Which of the following hormones is  secreted by the beta cells of the pancreas and stimulates the uptake of glucose by the cells,"{""option1"": ""Glucagon"", ""option2"": ""epinephrine"", ""option3"": ""Somatostatin"", ""option4"": ""Insulin"", ""option5"": ""Progesterone""}",option4,Insulin is responsible for the rise in blood glucose levels after meals.It promotes the uptake of glucose by muscles and fat cells thereby lowering blood glucose levels,"Ebonyi State University,Abakaliki,Ebonyi State",Endocrinology,,0.11,,,,,,,,,
8,b54ad40386e61a6e25d4e6d90ac7890bef312ec4f3b1231f630acf3323bd9503,train,19-25,Male,Medicine,Intern,NG,mcq,,"Which condition is characterized by sudden, temporary weakness or paralysis on one side of the body?","{""option1"": ""Epilepsy"", ""option2"": ""Migraine"", ""option3"": ""Hemiplegia"", ""option4"": ""Bell's palsy"", ""option5"": ""Parkinson's disease""}",option3,Hemiplegia refers to weakness or paralysis affecting one side of the body and is often associated with conditions like stroke or brain injury.,Ubth,Cardiology,,0.82,,,,,,,,,
9,8ea1d0fb5473b044285b1ed35394d8e165517c54fb13b61240909969596f48fa,train,19-25,Female,Medicine,Student,KE,mcq,,Type II respiratory failure occurs when alveolar ventilation is insufficient to excrete the carbon dioxide being produced. Which of the following is the most important cause for type II respiratory failure in myasthenia gravis?,"{""option1"": ""Increased resistance to ventilation"", ""option2"": ""Pulmonary vasoconstriction"", ""option3"": ""Increased vagal stimulation of pontine centres"", ""option4"": ""Early fatigue of inspiratory muscles"", ""option5"": ""Depression of dorsal respiratory group of neurons""}",option4,"The most important cause for type II respiratory failure in myasthenia gravis is early fatigue of inspiratory muscles.Myasthenia gravis (MG) is an autoimmune disorder characterized by muscle weakness and fatigue, particularly in the voluntary muscles. In the context of respiratory function, weakness and fatigue of the respiratory muscles, including the diaphragm and other inspiratory muscles, can lead to inadequate ventilation. This inadequate ventilation results in impaired clearance of carbon dioxide (CO2), leading to type II respiratory failure (hypercapnic respiratory failure).While other factors such as increased resistance to ventilation or depression of the dorsal respiratory group of neurons may contribute to respiratory dysfunction in certain conditions, early fatigue of inspiratory muscles is the primary mechanism responsible for type II respiratory failure in myasthenia gravis.",Moi University,Internal_Medicine,,0.0,,,,,,,,,
