sample_id,question,rationale,answer,A,B,C,D,E,preds,correct
4dcef5829a86c0ddf499c426963554b65274f5b729415cbb7d8c586b4b83f846,Which of the following statements accurately reflects the management approach for a 62-year-old obese woman with hypertension and type 2 diabetes mellitus who experiences vaginal bleeding for the first time since her menopause 11 years ago?,"In a postmenopausal woman, particularly one with diabetes, obesity, and hypertension, there is a heightened risk of endometrial cancer that warrants investigation and exclusion.",C,She probably has fibroids,The woman's symptoms are most likely due to the presence of an arteriovenous malformation in the uterine wall.,"She should undergo evaluation with a pelvic examination and transvaginal ultrasound, and referral for endometrial sampling is necessary.",She has engaged in energetic sexual intercourse,N/A,C,True
55ff48261c6b29f906f29c69ce8167a28f76390864d5670b92e3a472b367ad1f,Which of the following is the most common cause of acute respiratory distress syndrome (ARDS) in malaria-endemic regions of Africa?,"In malaria-endemic regions of Africa, severe malaria, especially caused by Plasmodium falciparum, is a leading cause of acute respiratory distress syndrome (ARDS) due to its ability to induce widespread endothelial damage and capillary leak syndrome.",D,Pneumonia,Tuberculosis,Pulmonary embolism,Malaria,Sickle cell disease,E,False
da4c5d13cf0246b7b9594a2752c1d783492f52234748f8d27be5a79afdc3152a,"51-year-old man with a 10-year history of gastroesophageal reflux and suspected Barrett esophagus comes to the office because his omeprazole dose ""doesn't work around the Christmas holidays."" He states that he prides himself on having a large appetite and ""holding his liquor"" during the holidays. He currently takes the maximum dose of omeprazole. Which of the following is the most appropriate initial action by the physician?","Given the patient's symptoms worsening specifically during the holidays despite taking the maximum dose of omeprazole, it is important to assess potential contributing factors such as excessive eating and drinking, which can exacerbate gastroesophageal reflux. Understanding the patient's behavior during the holidays can guide further management decisions. Therefore, option (A) is the most appropriate initial action.",A,Ask the patient how much he is eating and drinking during the holidays,Explain the hazards of untreated reflux in the presence of Barrett esophagus,Order an upper endoscopy,Switch the omeprazole to pantoprazole,Refer the patient to a gastroenterologist,A,True
5f4051b9a5c19f5073993b357e5e2849f3e2990108981ec8f4ec3aa07ff87d7d,"Regarding the pathophysiology of myasthenia gravis, what is/are the possible mechanisms by which acetylcholine receptor antibodies interfere with neuromuscular transmission?",All three are mechanisms of anti-acetylcholine receptor antibodies.,D,Binding to the acetylcholine receptor and blocking the binding of acetylcholine,"Cross-linking acetylcholine receptors, thereby increasing their rate of internalization",Binding of complement resulting in destruction of the muscle end plate,All of the above,None of the above,C,False
4b4a7a952553f6dea5427e115809cf5c558ca9288d02cfcc74263e5132ec2887,What is the recommended vaccination to prevent shingles (herpes zoster) in older adults?,"The zoster (shingles) vaccine is recommended for older adults to prevent shingles, a painful rash caused by reactivation of the varicella-zoster virus.",E,DTaP,MMR,Influenza,Pneumococcal vaccine,Zoster (shingles) vaccine,E,True
265049d633cd0f3229d266a5284aa104eba52196034cb16afe7a0a70bac253f6,"A 34-year-old man presents with a 1-week history of muscle aches, fatigue, and fever that occurs every 2 days. His history is significant for a trip to Nepal. Vital signs are temperature 39°C (102.2°F), heart rate 102 bpm, respiratory rate 22 breaths/min, and blood pressure 108/74 mm Hg. Physical examination reveals icterus and splenomegaly. Laboratory results are hemoglobin 11 g/dL and the peripheral smear shows erythrocytes with brick-red granules. A presumptive diagnosis is made and the patient is hospitalized and started on appropriate therapy. On the 3rd hospital day, the develops a sudden increase in heart rate. An electrocardiogram is obtained (see below). What was the most likely drug administered?

","A patient with recent travel history, cyclical fever, and brick red granules (Schüffner stippling) in erythrocytes suggests the diagnosis of malaria. The patient was most likely treated with chloroquine, a quinoline derivative that is a first-line agent for Plasmodium vivax and P. ovale infections. Chloroquine can cause marked QT prolongation and can cause severe ventricular arrhythmias like torsades de pointes.

Patients on antimalarials should be monitored with an ECG regularly. The common side effect of chloroquine is gastrointestinal upset (GI), headache, blurred vision, and insomnia.

Doxycycline and tetracycline are usually well-tolerated, but some GI upset can be seen and, less commonly, ultraviolet photosensitivity

Metronidazole and pyrimethamine drugs are not effective against malaria.",D,Metronidazole,Pyrimethamine,ciprofloxacin,Chloroquine,Doxycycline,C,False
8bc767a7f2a0145642eb2052ff5cac54048fd52037d431b8072a502238b1523b,Which type of immune cell is primarily responsible for coordinating and regulating immune responses by releasing signaling molecules (cytokines)?,"T cells (T lymphocytes) play a central role in adaptive immunity by recognizing antigens, coordinating immune responses, and producing cytokines to activate other immune cells.",C,Macrophages,Dendritic cells,T cells,B cells,Natural killer cells,E,False
41704f00810cf3a6d3d6fa04fa6b9cdaaba8bbc635225b206d003afcec1bbd87,Which of the following hormones is  secreted by the beta cells of the pancreas and stimulates the uptake of glucose by the cells,Insulin is responsible for the rise in blood glucose levels after meals.It promotes the uptake of glucose by muscles and fat cells thereby lowering blood glucose levels,D,Glucagon,epinephrine,Somatostatin,Insulin,Progesterone,C,False
b54ad40386e61a6e25d4e6d90ac7890bef312ec4f3b1231f630acf3323bd9503,"Which condition is characterized by sudden, temporary weakness or paralysis on one side of the body?",Hemiplegia refers to weakness or paralysis affecting one side of the body and is often associated with conditions like stroke or brain injury.,C,Epilepsy,Migraine,Hemiplegia,Bell's palsy,Parkinson's disease,C,True
8ea1d0fb5473b044285b1ed35394d8e165517c54fb13b61240909969596f48fa,Type II respiratory failure occurs when alveolar ventilation is insufficient to excrete the carbon dioxide being produced. Which of the following is the most important cause for type II respiratory failure in myasthenia gravis?,"The most important cause for type II respiratory failure in myasthenia gravis is early fatigue of inspiratory muscles.Myasthenia gravis (MG) is an autoimmune disorder characterized by muscle weakness and fatigue, particularly in the voluntary muscles. In the context of respiratory function, weakness and fatigue of the respiratory muscles, including the diaphragm and other inspiratory muscles, can lead to inadequate ventilation. This inadequate ventilation results in impaired clearance of carbon dioxide (CO2), leading to type II respiratory failure (hypercapnic respiratory failure).While other factors such as increased resistance to ventilation or depression of the dorsal respiratory group of neurons may contribute to respiratory dysfunction in certain conditions, early fatigue of inspiratory muscles is the primary mechanism responsible for type II respiratory failure in myasthenia gravis.",D,Increased resistance to ventilation,Pulmonary vasoconstriction,Increased vagal stimulation of pontine centres,Early fatigue of inspiratory muscles,Depression of dorsal respiratory group of neurons,C,False
