sample_id,question,rationale,options_len,answer,A,B,C,D,E,model_prompt,outputs,preds,correct,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore_Precision,BERTScore_Recall,BERTScore_F1
b682d57a13b1ad18379a7b4f781c900065b23a8a47e2c6edb0738df241f2f81d,"Which of the following conditions is characterized by an abnormal enlargement of the thyroid gland, often resulting in a visibly enlarged neck, and is endemic in certain regions of Africa due to dietary iodine deficiency?","Simple (nontoxic) goiter is characterized by thyroid enlargement without associated thyroid dysfunction. It often results from iodine deficiency, particularly in regions where dietary iodine intake is inadequate. Endemic goiter is a public health concern in various parts of Africa, particularly in landlocked areas distant from marine sources of iodine. Hashimoto's thyroiditis and Graves' disease are autoimmune thyroid disorders. Toxic multinodular goiter is characterized by multiple hyperfunctioning thyroid nodules. Thyroid cancer may present with a palpable thyroid nodule but is less commonly associated with diffuse thyroid enlargement.",5,D,Hashimoto's thyroiditis,Graves' disease,Toxic multinodular goiter,Simple (nontoxic) goiter,Thyroid cancer,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following conditions is characterized by an abnormal enlargement of the thyroid gland, often resulting in a visibly enlarged neck, and is endemic in certain regions of Africa due to dietary iodine deficiency?
###Options:
A.  Hashimoto's thyroiditis
B.  Graves' disease
C.  Toxic multinodular goiter
D.  Simple (nontoxic) goiter
E.  Thyroid cancer

###Answer:","The correct answer is D. Simple (nontoxic) goiter.

Rationale:
Simple (nontoxic) goiter is characterized by an abnormal enlargement of the thyroid gland, often resulting in a visibly enlarged neck. This condition is endemic in certain regions of Africa due to dietary iodine deficiency.

Hashimoto's thyroiditis is an autoimmune disorder that can lead to hypothyroidism, but it is not typically associated with an enlarged thyroid gland.

Graves' disease is an autoimmune disorder that causes hyperthyroidism and can lead to an enlarged thyroid gland, but it is not specifically associated with iodine deficiency.

Toxic multinodular goiter is a condition characterized by the development of multiple nodules in the thyroid gland, which can lead to hyperthyroidism, but it is not primarily caused by iodine deficiency.

Thyroid cancer is a malignant condition that can cause a thyroid nodule or enlargement, but it is not the primary condition associated with iodine deficiency-induced goiter.",D,True,0.4525547395705685,0.14507771537168798,0.43795619942458314,0.86987215,0.8954923,0.88249636
67351c580446820415846e4246ba2f3464ed382c3f300453840993c4bf842d12,"Which of the following infectious diseases, endemic to certain regions of Africa, is caused by the bacterium Mycobacterium leprae and primarily affects the skin, nerves, and mucous membranes?","Leprosy, also known as Hansen's disease, is a chronic infectious disease caused by Mycobacterium leprae. It primarily affects the skin, peripheral nerves, mucous membranes of the upper respiratory tract, and eyes. Leprosy is endemic in several regions of Africa, Asia, and Latin America. Tuberculosis, caused by Mycobacterium tuberculosis, primarily affects the lungs but can involve other organs as well. Yaws is a tropical disease caused by the bacterium Treponema pallidum pertenue. Buruli ulcer disease is caused by Mycobacterium ulcerans and primarily affects the skin and subcutaneous tissue. Lymphatic filariasis is caused by filarial worms transmitted by mosquitoes and primarily affects the lymphatic system.",5,B,Tuberculosis,Leprosy,Yaws,Buruli ulcer disease,Lymphatic filariasis,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following infectious diseases, endemic to certain regions of Africa, is caused by the bacterium Mycobacterium leprae and primarily affects the skin, nerves, and mucous membranes?
###Options:
A.  Tuberculosis
B.  Leprosy
C.  Yaws
D.  Buruli ulcer disease
E.  Lymphatic filariasis

###Answer:","The correct answer is B. Leprosy.

Rationale:
Leprosy is an infectious disease caused by the bacterium Mycobacterium leprae. It primarily affects the skin, nerves, and mucous membranes, and is endemic to certain regions of Africa, as well as parts of Asia and South America.

Tuberculosis (A) is caused by the bacterium Mycobacterium tuberculosis and primarily affects the lungs.
Yaws (C) is a bacterial infection caused by the spirochete Treponema pallidum subspecies pertenue and primarily affects the skin and bones.
Buruli ulcer disease (D) is caused by the bacterium Mycobacterium ulcerans and primarily affects the skin and soft tissues.
Lymphatic filariasis (E) is a parasitic infection caused by filarial worms and primarily affects the lymphatic system.",B,True,0.5970149203742482,0.369942191531959,0.5970149203742482,0.9169697,0.9291138,0.9230018
b0b91d118616037284a08889d727235b526dacb738d273673c6e8122558ef6fc,Which of the following is a viral hemorrhagic fever that is endemic to certain regions of Africa and is transmitted to humans through contact with infected rodents or their urine?,"Lassa fever is a viral hemorrhagic fever caused by the Lassa virus, which is primarily transmitted to humans through contact with urine or feces of infected Mastomys rodents. It is endemic to several West African countries and can lead to severe illness, including hemorrhagic fever and multi-organ failure. Ebola virus disease, Marburg virus disease, and Rift Valley fever are also viral hemorrhagic fevers found in Africa, but they are transmitted through different mechanisms and are associated with distinct viral pathogens.",5,B,Ebola virus disease,Lassa fever,Marburg virus disease,Rift Valley fever,Typhoid,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following is a viral hemorrhagic fever that is endemic to certain regions of Africa and is transmitted to humans through contact with infected rodents or their urine?
###Options:
A.  Ebola virus disease
B.  Lassa fever
C.  Marburg virus disease
D.  Rift Valley fever
E.  Typhoid

###Answer:","The correct answer is B. Lassa fever.

Rationale:
Lassa fever is a viral hemorrhagic fever that is endemic to certain regions of West Africa, particularly Nigeria, Sierra Leone, Liberia, and Guinea. It is transmitted to humans through contact with infected rodents, primarily the Mastomys natalensis rodent, or their urine and droppings.

Ebola virus disease (option A) is another viral hemorrhagic fever that is endemic to certain regions of Africa, but it is primarily transmitted through contact with bodily fluids of infected individuals or animals.

Marburg virus disease (option C) is also a viral hemorrhagic fever, but it is endemic to certain regions of Africa, including Uganda, Democratic Republic of the Congo, and Angola.

Rift Valley fever (option D) is a viral disease that is primarily transmitted to humans through contact with infected livestock or their products, and it is endemic to certain regions of Africa and the Middle East.

Typhoid (option E) is a bacterial infection caused by Salmonella enterica serovar Typhi, and it is not a viral hemorrhagic fever.",B,True,0.4788732346042452,0.24365481759591853,0.4507042205197382,0.853896,0.8908336,0.8719739
1972fbe11f6249de5461c7836698bd1d7d17a244eb7bdbd973b78c442f2348f6,Ms XY is a primigravida who is 30 weeks pregnant. She presents toA   E with acute onset of shortness of breath and chest pain. Shehas just travelled via a long-haul flight (12 h) to Kenya. Which of thefollowing investigations is not appropriate in the investigation of asuspected pulmonary embolus in pregnancy?,A CTPA exposes a pregnant woman to very high amounts of x-rays. This is teratogenic to the unborn fetus.,5,E,V/Q Scan.,CXR.,D-Dimer..,ECG.,CTPA.,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Ms XY is a primigravida who is 30 weeks pregnant. She presents toA   E with acute onset of shortness of breath and chest pain. Shehas just travelled via a long-haul flight (12 h) to Kenya. Which of thefollowing investigations is not appropriate in the investigation of asuspected pulmonary embolus in pregnancy?
###Options:
A.  V/Q Scan.
B.  CXR.
C.  D-Dimer..
D.  ECG.
E.  CTPA.

###Answer:","The correct answer is C. D-Dimer.

Rationale:
In the investigation of suspected pulmonary embolism (PE) in pregnancy, the following investigations are appropriate:

A. V/Q Scan (Ventilation/Perfusion Scan): This is a nuclear medicine imaging test that can help diagnose PE by assessing the ventilation and perfusion of the lungs. It is considered a safe option in pregnancy.

B. CXR (Chest X-Ray): A chest X-ray can help rule out other potential causes of the patient's symptoms, such as pneumonia or heart failure.

D. ECG (Electrocardiogram): An ECG can help identify any abnormalities in the heart's electrical activity that may be associated with PE.

E. CTPA (Computed Tomography Pulmonary Angiography): This is the gold standard imaging test for diagnosing PE, as it can directly visualize the pulmonary arteries and detect the presence of blood clots.

C. D-Dimer is not an appropriate investigation in this case. D-Dimer is a blood test that measures the presence of fibrin degradation products, which can be elevated in various conditions, including PE. However, D-Dimer levels are often elevated in normal pregnancy, making it a less reliable test for diagnosing PE in pregnant women.

Therefore, the correct answer is C. D-Dimer, as it is not an appropriate investigation for suspected pulmonary embolism in pregnancy.",C,False,0.1118881096875153,0.010152282603520075,0.1118881096875153,0.7903151,0.85490453,0.821342
480181ec8fcb02bc808bc61fc3ab24c25bd846aaae1626a5368428033917f0f7,"A 25-year-old woman comes to the office because of a 3-day history of fever, chills, severe headache, weakness, muscle pain, loss of appetite, vomiting, diarrhea, and moderate abdominal pain. She is in nursing school and returned from a medical missions trip in West Africa 10 days ago. Her symptoms began abruptly while she was shopping in a supermarket after her return. Temperature is 39.0°C (102.2°F), pulse is 100/min, respirations are 22/min, and blood pressure is 110/70 mm Hg. The patient appears ill and in mild respiratory distress. Physical examination discloses poor skin turgor and hyperactive bowel sounds. Muscle strength is 4/5 throughout. Laboratory studies show leukopenia and thrombocytopenia. Which of the following is the most sensitive and specific test for detection of the suspected viral genome in this patient?","Given the patient's recent travel history to West Africa and the symptoms suggestive of viral hemorrhagic fever, such as fever, chills, headache, weakness, and thrombocytopenia, the most sensitive and specific test for detection of the suspected viral genome would be (C) Reverse transcription-polymerase chain reaction (RT-PCR) test.",5,C,Microarray analysis,Northern blot,Reverse transcription-polymerase chain reaction test,Southern blot,Western blot,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A 25-year-old woman comes to the office because of a 3-day history of fever, chills, severe headache, weakness, muscle pain, loss of appetite, vomiting, diarrhea, and moderate abdominal pain. She is in nursing school and returned from a medical missions trip in West Africa 10 days ago. Her symptoms began abruptly while she was shopping in a supermarket after her return. Temperature is 39.0°C (102.2°F), pulse is 100/min, respirations are 22/min, and blood pressure is 110/70 mm Hg. The patient appears ill and in mild respiratory distress. Physical examination discloses poor skin turgor and hyperactive bowel sounds. Muscle strength is 4/5 throughout. Laboratory studies show leukopenia and thrombocytopenia. Which of the following is the most sensitive and specific test for detection of the suspected viral genome in this patient?
###Options:
A.  Microarray analysis
B.  Northern blot
C.  Reverse transcription-polymerase chain reaction test
D.  Southern blot
E.  Western blot

###Answer:","The correct answer is C. Reverse transcription-polymerase chain reaction (RT-PCR) test.

Rationale:
The patient's symptoms, including fever, chills, headache, weakness, muscle pain, loss of appetite, vomiting, diarrhea, and abdominal pain, along with the history of recent travel to West Africa, are highly suggestive of a viral hemorrhagic fever, such as Ebola virus disease.

RT-PCR is the most sensitive and specific test for the detection of viral genomes, including Ebola virus. This molecular diagnostic technique can detect the presence of the viral RNA in the patient's blood or other body fluids, even in the early stages of the infection.

The other options are not the most appropriate tests for this scenario:
A. Microarray analysis is a technique used for gene expression profiling, not for the direct detection of viral genomes.
B. Northern blot is used to detect and quantify specific RNA molecules, but it is not as sensitive and specific as RT-PCR for viral detection.
D. Southern blot is used for the detection of DNA, not RNA viruses like Ebola.
E. Western blot is an immunoassay used to detect specific proteins, not viral genomes.

Therefore, the most sensitive and specific test for the detection of the suspected viral genome in this patient is the reverse transcription-polymerase chain reaction (RT-PCR) test.",C,True,0.4189189151022644,0.25454545123801653,0.36486486104821036,0.85462683,0.8975291,0.8755527
9fbe4134a572e8e2c8fc66ec8b5d578b9a920de63143be9129729b462ae70a92,The following diseases must be screened for in blood for transfusion in Kenya;,"Hepatitis, Hiv and Syphillis screening are mandatory for blood transfusion in Kenya.",4,D,Hepatitis,HIV,Syphillis,All of the above,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: The following diseases must be screened for in blood for transfusion in Kenya;
###Options:
A.  Hepatitis
B.  HIV
C.  Syphillis
D.  All of the above

###Answer:","The correct answer is D. All of the above.

Rationale:
In Kenya, as in many other countries, the following diseases must be screened for in blood for transfusion:

A. Hepatitis: Hepatitis B and C are serious viral infections that can be transmitted through blood transfusion. Screening for these infections is crucial to ensure the safety of the blood supply and prevent the transmission of these diseases.

B. HIV: Human Immunodeficiency Virus (HIV) is the virus that causes AIDS, and it can be transmitted through blood transfusion. Screening for HIV is essential to protect the recipients of blood products.

C. Syphilis: Syphilis is a sexually transmitted infection that can also be transmitted through blood transfusion. Screening for syphilis is necessary to prevent the transmission of this disease.

Therefore, all of the options (A, B, and C) are correct, and the correct answer is D. All of the above.",D,True,0.13043478034026468,0.01526717403414735,0.13043478034026468,0.8180322,0.85898376,0.8380079
5973b65cc72965bbd94cc61f141722c44a574fcbe80a0c0ff815cfd5bbaea136,Acceptable blood donors in Kenya do not include:,Commercial blood donors are not allowed in Kenya,5,C,Patient called donor,Voluntary call responsive,Commercial,Autologous,Voluntary walk in,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Acceptable blood donors in Kenya do not include:
###Options:
A.  Patient called donor
B.  Voluntary call responsive
C.  Commercial
D.  Autologous
E.  Voluntary walk in

###Answer:","The correct answer is C. Commercial.

Rationale:
In Kenya, the acceptable blood donors do not include commercial donors. The acceptable blood donors are:

A. Patient called donor: This refers to a person who donates blood specifically for a patient in need, and this is an acceptable form of blood donation.

B. Voluntary call responsive: This refers to a person who responds to a call for blood donation, and this is an acceptable form of blood donation.

D. Autologous: This refers to a person who donates blood for their own use, and this is an acceptable form of blood donation.

E. Voluntary walk in: This refers to a person who voluntarily walks in to donate blood, and this is an acceptable form of blood donation.

However, C. Commercial donors, who are paid for their blood donation, are not considered acceptable blood donors in Kenya. This is because commercial blood donation can lead to the exploitation of donors and may compromise the safety and quality of the blood supply.",C,True,0.1728395043926231,0.048780486731442946,0.1728395043926231,0.7918111,0.8801699,0.8336557
2311d9a9e7bb66677a3b560f2a88a7c528bf8fdb478087d9d81e722ee41f8388,"Which of the following conditions, prevalent in Africa, is characterized by the abnormal growth of cells in the prostate gland, leading to symptoms such as urinary frequency, urgency, hesitancy, weak urinary stream, and nocturia?","Benign prostatic hyperplasia (BPH) is a common condition in aging men, characterized by the non-cancerous enlargement of the prostate gland. BPH can cause compression of the urethra, leading to urinary symptoms such as frequency, urgency, hesitancy, weak urinary stream, and nocturia. BPH is prevalent in Africa and can significantly affect quality of life if left untreated. Prostatitis is inflammation of the prostate gland and can present with similar urinary symptoms but is often associated with pain or discomfort in the pelvic area. Prostate cancer is a malignancy of the prostate gland and may also cause urinary symptoms, along with other systemic manifestations. Epididymitis is inflammation of the epididymis, often secondary to infection, and presents with scrotal pain and swelling. Testicular cancer is a malignancy of the testes and typically presents with a painless testicular mass.",5,C,Prostatitis,Prostate cancer,Benign prostatic hyperplasia (BPH),Epididymitis,Testicular cancer,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following conditions, prevalent in Africa, is characterized by the abnormal growth of cells in the prostate gland, leading to symptoms such as urinary frequency, urgency, hesitancy, weak urinary stream, and nocturia?
###Options:
A.  Prostatitis
B.  Prostate cancer
C.  Benign prostatic hyperplasia (BPH)
D.  Epididymitis
E.  Testicular cancer

###Answer:","The correct answer is C. Benign prostatic hyperplasia (BPH).

Rationale:
Benign prostatic hyperplasia (BPH) is a condition characterized by the abnormal growth of cells in the prostate gland, leading to an enlargement of the prostate. This condition is prevalent in Africa and can cause various urinary symptoms, such as increased urinary frequency, urgency, hesitancy, weak urinary stream, and nocturia (waking up at night to urinate).

The other options are not the correct answer:
A. Prostatitis is an inflammation of the prostate gland, not an abnormal growth of cells.
B. Prostate cancer is a malignant growth of cells in the prostate gland, not a benign condition.
D. Epididymitis is an inflammation of the epididymis, which is the coiled tube at the back of the testicle, and is not related to the prostate gland.
E. Testicular cancer is a malignant growth of cells in the testicles, not the prostate gland.",C,True,0.5095541351373282,0.3097345082747279,0.5095541351373282,0.8859646,0.89643943,0.8911713
2ea6139fdc9b2998470f3d7d8efa48e722a6dbde660bf25485f8e1f7bc9fbaa3,"Which of the following conditions, prevalent in Africa, is characterized by the formation of multiple, fluid-filled cysts in the kidneys, leading to progressive renal dysfunction and eventual kidney failure?"," Polycystic kidney disease (PKD) is a genetic disorder characterized by the formation of multiple fluid-filled cysts in the kidneys. These cysts can gradually enlarge, leading to compression of surrounding renal tissue and progressive renal dysfunction. PKD is prevalent in Africa and can ultimately result in kidney failure if left untreated. Glomerulonephritis is inflammation of the glomeruli, the filtering units of the kidneys, and can lead to kidney damage. Nephrolithiasis refers to the formation of kidney stones, which can cause obstruction and renal colic. Pyelonephritis is inflammation and infection of the kidney parenchyma, often secondary to ascending urinary tract infections. Renal cell carcinoma is a type of kidney cancer.",5,A,Polycystic kidney disease,Glomerulonephritis,Nephrolithiasis,Pyelonephritis,Renal cell carcinoma,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following conditions, prevalent in Africa, is characterized by the formation of multiple, fluid-filled cysts in the kidneys, leading to progressive renal dysfunction and eventual kidney failure?
###Options:
A.  Polycystic kidney disease
B.  Glomerulonephritis
C.  Nephrolithiasis
D.  Pyelonephritis
E.  Renal cell carcinoma

###Answer:","The correct answer is A. Polycystic kidney disease.

Rationale:
Polycystic kidney disease (PKD) is a genetic disorder characterized by the formation of multiple, fluid-filled cysts in the kidneys. These cysts gradually enlarge, leading to progressive renal dysfunction and eventual kidney failure. PKD is a prevalent condition in Africa, as well as other parts of the world.

The other options are not the correct answer:
B. Glomerulonephritis is an inflammation of the glomeruli, the filtering units of the kidneys, and is not characterized by the formation of cysts.
C. Nephrolithiasis refers to the formation of kidney stones, which is a different condition from PKD.
D. Pyelonephritis is a bacterial infection of the kidneys, which is also distinct from PKD.
E. Renal cell carcinoma is a type of kidney cancer, which is not the same as the cystic condition seen in PKD.",A,True,0.6164383511793957,0.4444444394791667,0.6164383511793957,0.8902844,0.9230811,0.9063862
09cbeee45181ee6a8b98880fd5beb1e7e63bce5cdaad8bec3f56f3aef56ef024,"Which of the following conditions, prevalent in Africa, is characterized by a chronic, relapsing inflammatory skin disorder with erythematous, scaly plaques, often affecting extensor surfaces and the scalp?"," Psoriasis is a chronic inflammatory skin disorder characterized by erythematous, scaly plaques, typically affecting extensor surfaces such as the elbows and knees, as well as the scalp. It can present with itching, pain, and discomfort. Psoriasis is prevalent in Africa and can significantly impact the quality of life of affected individuals. Eczema, also known as atopic dermatitis, is another inflammatory skin condition characterized by pruritic, erythematous patches, often with oozing and crusting. Dermatophytosis, or ringworm, is a fungal infection of the skin, hair, or nails. Scabies is caused by the Sarcoptes scabiei mite and presents with intense itching and a characteristic rash. Contact dermatitis is inflammation of the skin triggered by contact with irritants or allergens.",5,B,Eczema,Psoriasis,Dermatophytosis,Scabies,Contact dermatitis,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following conditions, prevalent in Africa, is characterized by a chronic, relapsing inflammatory skin disorder with erythematous, scaly plaques, often affecting extensor surfaces and the scalp?
###Options:
A.  Eczema
B.  Psoriasis
C.  Dermatophytosis
D.  Scabies
E.  Contact dermatitis

###Answer:","The correct answer is B. Psoriasis.

Rationale:
Psoriasis is a chronic, relapsing inflammatory skin disorder characterized by erythematous, scaly plaques that often affect the extensor surfaces and the scalp. It is a common condition that is prevalent in Africa, as well as other parts of the world.

Eczema (A) is a chronic, inflammatory skin condition that presents with red, itchy, and sometimes blistered skin, but it does not typically have the characteristic erythematous, scaly plaques of psoriasis.

Dermatophytosis (C) is a fungal skin infection, often referred to as ""ringworm,"" which presents with circular, scaly lesions, but it does not have the same chronic, relapsing nature as psoriasis.

Scabies (D) is a contagious skin infestation caused by the mite Sarcoptes scabiei, which presents with intense itching and a characteristic rash, but it does not have the same erythematous, scaly plaques as psoriasis.

Contact dermatitis (E) is a skin inflammation caused by an allergic reaction or irritation to a substance, and it does not have the chronic, relapsing nature or the specific skin manifestations of psoriasis.",B,True,0.46153845655964437,0.2186234768503009,0.42603549797976265,0.87619555,0.90195245,0.88888747
