sample_id,question,rationale,options_len,answer,A,B,C,D,E,model_prompt,outputs,preds,correct,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore_Precision,BERTScore_Recall,BERTScore_F1
b682d57a13b1ad18379a7b4f781c900065b23a8a47e2c6edb0738df241f2f81d,"Which of the following conditions is characterized by an abnormal enlargement of the thyroid gland, often resulting in a visibly enlarged neck, and is endemic in certain regions of Africa due to dietary iodine deficiency?","Simple (nontoxic) goiter is characterized by thyroid enlargement without associated thyroid dysfunction. It often results from iodine deficiency, particularly in regions where dietary iodine intake is inadequate. Endemic goiter is a public health concern in various parts of Africa, particularly in landlocked areas distant from marine sources of iodine. Hashimoto's thyroiditis and Graves' disease are autoimmune thyroid disorders. Toxic multinodular goiter is characterized by multiple hyperfunctioning thyroid nodules. Thyroid cancer may present with a palpable thyroid nodule but is less commonly associated with diffuse thyroid enlargement.",5,D,Hashimoto's thyroiditis,Graves' disease,Toxic multinodular goiter,Simple (nontoxic) goiter,Thyroid cancer,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following conditions is characterized by an abnormal enlargement of the thyroid gland, often resulting in a visibly enlarged neck, and is endemic in certain regions of Africa due to dietary iodine deficiency?
###Options:
A.  Hashimoto's thyroiditis
B.  Graves' disease
C.  Toxic multinodular goiter
D.  Simple (nontoxic) goiter
E.  Thyroid cancer

###Answer:","D. Simple (nontoxic) goiter

###Rationale:
Simple (nontoxic) goiter is characterized by an abnormal enlargement of the thyroid gland, often resulting in a visibly enlarged neck. This condition is endemic in certain regions of Africa due to dietary iodine deficiency. Iodine is essential for the production of thyroid hormones, and a lack of iodine in the diet can lead to an enlargement of the thyroid gland as it tries to compensate for the reduced hormone production.

Hashimoto's thyroiditis is an autoimmune disorder that causes inflammation and gradual destruction of the thyroid gland, leading to hypothyroidism. Graves' disease is an autoimmune disorder that causes hyperthyroidism due to the production of antibodies that stimulate the thyroid gland. Toxic multinodular goiter is a condition characterized by the presence of multiple nodules in the thyroid gland that produce excess thyroid hormones, leading to hyperthyroidism. Thyroid cancer is a malignant growth of the thyroid gland cells and is not directly related to iodine deficiency.",D,True,0.37762237271064597,0.12682926355550286,0.37762237271064597,0.8669693,0.89697164,0.8817153
67351c580446820415846e4246ba2f3464ed382c3f300453840993c4bf842d12,"Which of the following infectious diseases, endemic to certain regions of Africa, is caused by the bacterium Mycobacterium leprae and primarily affects the skin, nerves, and mucous membranes?","Leprosy, also known as Hansen's disease, is a chronic infectious disease caused by Mycobacterium leprae. It primarily affects the skin, peripheral nerves, mucous membranes of the upper respiratory tract, and eyes. Leprosy is endemic in several regions of Africa, Asia, and Latin America. Tuberculosis, caused by Mycobacterium tuberculosis, primarily affects the lungs but can involve other organs as well. Yaws is a tropical disease caused by the bacterium Treponema pallidum pertenue. Buruli ulcer disease is caused by Mycobacterium ulcerans and primarily affects the skin and subcutaneous tissue. Lymphatic filariasis is caused by filarial worms transmitted by mosquitoes and primarily affects the lymphatic system.",5,B,Tuberculosis,Leprosy,Yaws,Buruli ulcer disease,Lymphatic filariasis,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following infectious diseases, endemic to certain regions of Africa, is caused by the bacterium Mycobacterium leprae and primarily affects the skin, nerves, and mucous membranes?
###Options:
A.  Tuberculosis
B.  Leprosy
C.  Yaws
D.  Buruli ulcer disease
E.  Lymphatic filariasis

###Answer:","B. Leprosy

Rationale: Leprosy, also known as Hansen's disease, is a chronic infectious disease caused by the bacterium Mycobacterium leprae. It primarily affects the skin, peripheral nerves, and mucous membranes of the upper respiratory tract. Leprosy is endemic in certain regions of Africa, as well as in other parts of the world, such as India, Brazil, and Indonesia.

The other options are incorrect because:
A. Tuberculosis is caused by Mycobacterium tuberculosis, primarily affecting the lungs.
C. Yaws is caused by the bacterium Treponema pallidum pertenue and mainly affects the skin and bones.
D. Buruli ulcer disease is caused by Mycobacterium ulcerans, resulting in skin ulcers.
E. Lymphatic filariasis is caused by filarial nematodes and affects the lymphatic system.",B,True,0.689655167433056,0.547368416097507,0.689655167433056,0.92099655,0.93734026,0.9290965
b0b91d118616037284a08889d727235b526dacb738d273673c6e8122558ef6fc,Which of the following is a viral hemorrhagic fever that is endemic to certain regions of Africa and is transmitted to humans through contact with infected rodents or their urine?,"Lassa fever is a viral hemorrhagic fever caused by the Lassa virus, which is primarily transmitted to humans through contact with urine or feces of infected Mastomys rodents. It is endemic to several West African countries and can lead to severe illness, including hemorrhagic fever and multi-organ failure. Ebola virus disease, Marburg virus disease, and Rift Valley fever are also viral hemorrhagic fevers found in Africa, but they are transmitted through different mechanisms and are associated with distinct viral pathogens.",5,B,Ebola virus disease,Lassa fever,Marburg virus disease,Rift Valley fever,Typhoid,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following is a viral hemorrhagic fever that is endemic to certain regions of Africa and is transmitted to humans through contact with infected rodents or their urine?
###Options:
A.  Ebola virus disease
B.  Lassa fever
C.  Marburg virus disease
D.  Rift Valley fever
E.  Typhoid

###Answer:","B. Lassa fever

Rationale: Lassa fever is a viral hemorrhagic fever that is endemic to certain regions of West Africa, particularly Nigeria, Sierra Leone, Guinea, and Liberia. The Lassa virus is transmitted to humans through contact with infected multimammate rats (Mastomys natalensis) or their urine, droppings, or contaminated food. 

Ebola and Marburg virus diseases are also viral hemorrhagic fevers found in Africa, but they are transmitted to humans through contact with infected fruit bats, primates, or bodily fluids of infected humans, not rodents.

Rift Valley fever is a viral disease that primarily affects livestock but can also infect humans through contact with infected animals or mosquito bites. It is not primarily associated with rodents.

Typhoid is a bacterial infection caused by Salmonella typhi and is not a viral hemorrhagic fever.

Therefore, Lassa fever is the correct answer based on the information provided in the question.",B,True,0.5342465705535748,0.30303029830017353,0.5342465705535748,0.8660302,0.906863,0.88597643
1972fbe11f6249de5461c7836698bd1d7d17a244eb7bdbd973b78c442f2348f6,Ms XY is a primigravida who is 30 weeks pregnant. She presents toA   E with acute onset of shortness of breath and chest pain. Shehas just travelled via a long-haul flight (12 h) to Kenya. Which of thefollowing investigations is not appropriate in the investigation of asuspected pulmonary embolus in pregnancy?,A CTPA exposes a pregnant woman to very high amounts of x-rays. This is teratogenic to the unborn fetus.,5,E,V/Q Scan.,CXR.,D-Dimer..,ECG.,CTPA.,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Ms XY is a primigravida who is 30 weeks pregnant. She presents toA   E with acute onset of shortness of breath and chest pain. Shehas just travelled via a long-haul flight (12 h) to Kenya. Which of thefollowing investigations is not appropriate in the investigation of asuspected pulmonary embolus in pregnancy?
###Options:
A.  V/Q Scan.
B.  CXR.
C.  D-Dimer..
D.  ECG.
E.  CTPA.

###Answer:","C. D-Dimer.

###Rationale:
D-Dimer is not an appropriate investigation for suspected pulmonary embolism (PE) in pregnancy. D-Dimer levels are naturally elevated during pregnancy due to the physiological changes, making the test less reliable and prone to false-positive results. Therefore, D-Dimer has limited diagnostic value in pregnant women with suspected PE.

The other options mentioned are more suitable for investigating a suspected PE in pregnancy:

A. V/Q Scan (Ventilation-Perfusion Scan): This is a safe and effective method to diagnose PE in pregnancy, as it exposes the fetus to less radiation compared to CTPA.

B. CXR (Chest X-ray): Although not diagnostic for PE, a CXR can help rule out other causes of shortness of breath and chest pain, such as pneumonia or pneumothorax.

D. ECG (Electrocardiogram): An ECG can help identify signs of right ventricular strain, which may be present in cases of significant PE.

E. CTPA (Computed Tomography Pulmonary Angiography): CTPA is the gold standard for diagnosing PE in the general population. However, in pregnancy, it is used judiciously due to the higher radiation exposure to the fetus. It may be considered if other diagnostic methods are inconclusive or if the clinical suspicion for PE is high.

In summary, D-Dimer is not an appropriate investigation for suspected PE in pregnancy due to its limited diagnostic value in this population. Other imaging modalities and tests are preferred to accurately diagnose PE while minimizing radiation exposure to the fetus.",C,False,0.15286624000811394,0.017937218246898312,0.1273885330017445,0.7906177,0.8694035,0.828141
480181ec8fcb02bc808bc61fc3ab24c25bd846aaae1626a5368428033917f0f7,"A 25-year-old woman comes to the office because of a 3-day history of fever, chills, severe headache, weakness, muscle pain, loss of appetite, vomiting, diarrhea, and moderate abdominal pain. She is in nursing school and returned from a medical missions trip in West Africa 10 days ago. Her symptoms began abruptly while she was shopping in a supermarket after her return. Temperature is 39.0°C (102.2°F), pulse is 100/min, respirations are 22/min, and blood pressure is 110/70 mm Hg. The patient appears ill and in mild respiratory distress. Physical examination discloses poor skin turgor and hyperactive bowel sounds. Muscle strength is 4/5 throughout. Laboratory studies show leukopenia and thrombocytopenia. Which of the following is the most sensitive and specific test for detection of the suspected viral genome in this patient?","Given the patient's recent travel history to West Africa and the symptoms suggestive of viral hemorrhagic fever, such as fever, chills, headache, weakness, and thrombocytopenia, the most sensitive and specific test for detection of the suspected viral genome would be (C) Reverse transcription-polymerase chain reaction (RT-PCR) test.",5,C,Microarray analysis,Northern blot,Reverse transcription-polymerase chain reaction test,Southern blot,Western blot,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A 25-year-old woman comes to the office because of a 3-day history of fever, chills, severe headache, weakness, muscle pain, loss of appetite, vomiting, diarrhea, and moderate abdominal pain. She is in nursing school and returned from a medical missions trip in West Africa 10 days ago. Her symptoms began abruptly while she was shopping in a supermarket after her return. Temperature is 39.0°C (102.2°F), pulse is 100/min, respirations are 22/min, and blood pressure is 110/70 mm Hg. The patient appears ill and in mild respiratory distress. Physical examination discloses poor skin turgor and hyperactive bowel sounds. Muscle strength is 4/5 throughout. Laboratory studies show leukopenia and thrombocytopenia. Which of the following is the most sensitive and specific test for detection of the suspected viral genome in this patient?
###Options:
A.  Microarray analysis
B.  Northern blot
C.  Reverse transcription-polymerase chain reaction test
D.  Southern blot
E.  Western blot

###Answer:","C. Reverse transcription-polymerase chain reaction test

Rationale: The patient's symptoms, travel history to West Africa, and physical findings are highly suggestive of Ebola virus disease. Reverse transcription-polymerase chain reaction (RT-PCR) is the most sensitive and specific test for detecting the Ebola virus genome.

RT-PCR is a molecular diagnostic technique that combines reverse transcription of RNA into complementary DNA (cDNA) and amplification of specific DNA targets using polymerase chain reaction (PCR). This method allows for the detection of small amounts of viral RNA in clinical samples, making it highly sensitive and specific for diagnosing Ebola virus infection.

The other options are less suitable for this case:

A. Microarray analysis is used to study gene expression patterns but is not the most appropriate test for detecting specific viral genomes.

B. Northern blot is used to detect and quantify specific RNA sequences but is less sensitive than RT-PCR.

D. Southern blot is used to detect specific DNA sequences but is not applicable for detecting RNA viruses like Ebola.

E. Western blot is used to detect and quantify specific proteins but is not the most appropriate test for detecting viral genomes.",C,True,0.31884057571938673,0.16580310517758873,0.2608695612266331,0.84235686,0.8750219,0.8583787
9fbe4134a572e8e2c8fc66ec8b5d578b9a920de63143be9129729b462ae70a92,The following diseases must be screened for in blood for transfusion in Kenya;,"Hepatitis, Hiv and Syphillis screening are mandatory for blood transfusion in Kenya.",4,D,Hepatitis,HIV,Syphillis,All of the above,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: The following diseases must be screened for in blood for transfusion in Kenya;
###Options:
A.  Hepatitis
B.  HIV
C.  Syphillis
D.  All of the above

###Answer:","D. All of the above

###Rationale:
In Kenya, all donated blood must be screened for multiple infectious diseases to ensure the safety of the blood supply and prevent the transmission of blood-borne pathogens to recipients. The National Blood Transfusion Service (NBTS) of Kenya mandates screening for the following diseases:

1. Hepatitis B and C: These viral infections can cause chronic liver disease and are transmissible through blood transfusions.

2. Human Immunodeficiency Virus (HIV): HIV, the virus that causes AIDS, can be transmitted through blood transfusions and poses a significant risk to recipients.

3. Syphilis: Caused by the bacterium Treponema pallidum, syphilis can be transmitted through blood transfusions and can cause serious health complications if left untreated.

Therefore, the correct answer is D, as all three diseases mentioned (Hepatitis, HIV, and Syphilis) are part of the mandatory screening process for donated blood in Kenya. This comprehensive screening helps minimize the risk of transmitting infectious diseases to blood transfusion recipients.",D,True,0.15517241193816883,0.026143789515143817,0.15517241193816883,0.81156564,0.86124384,0.8356671
5973b65cc72965bbd94cc61f141722c44a574fcbe80a0c0ff815cfd5bbaea136,Acceptable blood donors in Kenya do not include:,Commercial blood donors are not allowed in Kenya,5,C,Patient called donor,Voluntary call responsive,Commercial,Autologous,Voluntary walk in,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Acceptable blood donors in Kenya do not include:
###Options:
A.  Patient called donor
B.  Voluntary call responsive
C.  Commercial
D.  Autologous
E.  Voluntary walk in

###Answer:","C. Commercial

Rationale: In Kenya, commercial blood donors are not considered acceptable. Commercial blood donation involves paying individuals to donate blood, which raises ethical concerns and may compromise the safety and quality of the donated blood. The other options listed are acceptable forms of blood donation in Kenya:

A. Patient called donor: This refers to a situation where a patient's family or friends are asked to donate blood specifically for that patient.

B. Voluntary call responsive: These are donors who respond to a call or appeal for blood donation, typically during times of shortage or emergency.

D. Autologous: This is when a person donates their own blood in advance of a planned surgery or procedure, to be used for their own transfusion if needed.

E. Voluntary walk-in: These are donors who voluntarily visit a blood donation center or mobile drive to donate blood without any prior call or appeal.

Kenya, like many other countries, relies on voluntary, unpaid blood donors to ensure a safe and sustainable blood supply.",C,True,0.10344827457788347,0.0496894401620308,0.10344827457788347,0.797621,0.898563,0.8450885
2311d9a9e7bb66677a3b560f2a88a7c528bf8fdb478087d9d81e722ee41f8388,"Which of the following conditions, prevalent in Africa, is characterized by the abnormal growth of cells in the prostate gland, leading to symptoms such as urinary frequency, urgency, hesitancy, weak urinary stream, and nocturia?","Benign prostatic hyperplasia (BPH) is a common condition in aging men, characterized by the non-cancerous enlargement of the prostate gland. BPH can cause compression of the urethra, leading to urinary symptoms such as frequency, urgency, hesitancy, weak urinary stream, and nocturia. BPH is prevalent in Africa and can significantly affect quality of life if left untreated. Prostatitis is inflammation of the prostate gland and can present with similar urinary symptoms but is often associated with pain or discomfort in the pelvic area. Prostate cancer is a malignancy of the prostate gland and may also cause urinary symptoms, along with other systemic manifestations. Epididymitis is inflammation of the epididymis, often secondary to infection, and presents with scrotal pain and swelling. Testicular cancer is a malignancy of the testes and typically presents with a painless testicular mass.",5,C,Prostatitis,Prostate cancer,Benign prostatic hyperplasia (BPH),Epididymitis,Testicular cancer,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following conditions, prevalent in Africa, is characterized by the abnormal growth of cells in the prostate gland, leading to symptoms such as urinary frequency, urgency, hesitancy, weak urinary stream, and nocturia?
###Options:
A.  Prostatitis
B.  Prostate cancer
C.  Benign prostatic hyperplasia (BPH)
D.  Epididymitis
E.  Testicular cancer

###Answer:","C. Benign prostatic hyperplasia (BPH)

Rationale: Benign prostatic hyperplasia (BPH) is a non-cancerous condition characterized by the abnormal growth of cells in the prostate gland. As the prostate enlarges, it can compress the urethra, leading to various urinary symptoms such as frequency, urgency, hesitancy, weak urinary stream, and nocturia (frequent urination at night). BPH is a prevalent condition among older men, particularly in Africa.

The other options can be ruled out for the following reasons:

A. Prostatitis is an inflammation of the prostate gland, often caused by bacterial infection, and can cause similar urinary symptoms. However, it is not characterized by abnormal cell growth.

B. Prostate cancer involves the malignant growth of cells in the prostate gland. While it can cause similar urinary symptoms, the question specifically mentions ""abnormal growth"" rather than malignant growth.

D. Epididymitis is an inflammation of the epididymis, a tube located at the back of the testicles. It is not related to the prostate gland.

E. Testicular cancer involves the malignant growth of cells in the testicles, not the prostate gland.",C,True,0.5164835115324237,0.30278883966349746,0.5054945005434128,0.88273597,0.90685296,0.8946319
2ea6139fdc9b2998470f3d7d8efa48e722a6dbde660bf25485f8e1f7bc9fbaa3,"Which of the following conditions, prevalent in Africa, is characterized by the formation of multiple, fluid-filled cysts in the kidneys, leading to progressive renal dysfunction and eventual kidney failure?"," Polycystic kidney disease (PKD) is a genetic disorder characterized by the formation of multiple fluid-filled cysts in the kidneys. These cysts can gradually enlarge, leading to compression of surrounding renal tissue and progressive renal dysfunction. PKD is prevalent in Africa and can ultimately result in kidney failure if left untreated. Glomerulonephritis is inflammation of the glomeruli, the filtering units of the kidneys, and can lead to kidney damage. Nephrolithiasis refers to the formation of kidney stones, which can cause obstruction and renal colic. Pyelonephritis is inflammation and infection of the kidney parenchyma, often secondary to ascending urinary tract infections. Renal cell carcinoma is a type of kidney cancer.",5,A,Polycystic kidney disease,Glomerulonephritis,Nephrolithiasis,Pyelonephritis,Renal cell carcinoma,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following conditions, prevalent in Africa, is characterized by the formation of multiple, fluid-filled cysts in the kidneys, leading to progressive renal dysfunction and eventual kidney failure?
###Options:
A.  Polycystic kidney disease
B.  Glomerulonephritis
C.  Nephrolithiasis
D.  Pyelonephritis
E.  Renal cell carcinoma

###Answer:","A. Polycystic kidney disease

Rationale: Polycystic kidney disease (PKD) is a genetic disorder characterized by the development of numerous fluid-filled cysts in the kidneys. These cysts grow and multiply over time, causing the kidneys to enlarge and lose their function progressively. PKD is a leading cause of end-stage renal disease (ESRD) worldwide, and it is particularly prevalent in Africa.

The other options are incorrect because:
- Glomerulonephritis is an inflammation of the glomeruli, the tiny filters in the kidneys, which can lead to kidney damage but does not involve the formation of cysts.
- Nephrolithiasis refers to the presence of kidney stones, which are solid deposits of minerals and salts that can cause pain and obstruction but do not involve cysts.
- Pyelonephritis is a bacterial infection of the kidney that can cause inflammation and damage but does not involve cyst formation.
- Renal cell carcinoma is a type of kidney cancer that originates in the lining of the proximal renal tubules but does not typically present with multiple cysts.

Therefore, polycystic kidney disease is the correct answer, as it aligns with the description of multiple, fluid-filled cysts in the kidneys leading to progressive renal dysfunction and eventual kidney failure, and it is known to be prevalent in Africa.",A,True,0.5363128444243314,0.3754512589445972,0.5251396600667896,0.87611806,0.9154538,0.8953541
09cbeee45181ee6a8b98880fd5beb1e7e63bce5cdaad8bec3f56f3aef56ef024,"Which of the following conditions, prevalent in Africa, is characterized by a chronic, relapsing inflammatory skin disorder with erythematous, scaly plaques, often affecting extensor surfaces and the scalp?"," Psoriasis is a chronic inflammatory skin disorder characterized by erythematous, scaly plaques, typically affecting extensor surfaces such as the elbows and knees, as well as the scalp. It can present with itching, pain, and discomfort. Psoriasis is prevalent in Africa and can significantly impact the quality of life of affected individuals. Eczema, also known as atopic dermatitis, is another inflammatory skin condition characterized by pruritic, erythematous patches, often with oozing and crusting. Dermatophytosis, or ringworm, is a fungal infection of the skin, hair, or nails. Scabies is caused by the Sarcoptes scabiei mite and presents with intense itching and a characteristic rash. Contact dermatitis is inflammation of the skin triggered by contact with irritants or allergens.",5,B,Eczema,Psoriasis,Dermatophytosis,Scabies,Contact dermatitis,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following conditions, prevalent in Africa, is characterized by a chronic, relapsing inflammatory skin disorder with erythematous, scaly plaques, often affecting extensor surfaces and the scalp?
###Options:
A.  Eczema
B.  Psoriasis
C.  Dermatophytosis
D.  Scabies
E.  Contact dermatitis

###Answer:","B. Psoriasis

Rationale: Psoriasis is a chronic, relapsing inflammatory skin disorder characterized by erythematous, scaly plaques that often affect extensor surfaces (such as elbows and knees) and the scalp. While psoriasis is a global disease, it is prevalent in Africa, with studies showing a prevalence ranging from 0.19% to 5.5% in various African countries.

Eczema, while also a chronic inflammatory skin condition, typically presents with itchy, dry, and cracked skin rather than the characteristic scaly plaques of psoriasis. Dermatophytosis is a fungal infection of the skin, hair, or nails, and scabies is caused by mite infestation, both presenting with different clinical features than psoriasis. Contact dermatitis is an inflammatory skin reaction caused by exposure to an irritant or allergen, which may share some features with psoriasis but is triggered by external factors rather than being a chronic, relapsing condition.",B,True,0.44571428076146946,0.23333332837534734,0.42285713790432655,0.88964146,0.9006525,0.89511317
