sample_id,question,rationale,options_len,answer,A,B,C,D,E,model_prompt,outputs,preds,correct,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore_Precision,BERTScore_Recall,BERTScore_F1
b682d57a13b1ad18379a7b4f781c900065b23a8a47e2c6edb0738df241f2f81d,"Which of the following conditions is characterized by an abnormal enlargement of the thyroid gland, often resulting in a visibly enlarged neck, and is endemic in certain regions of Africa due to dietary iodine deficiency?","Simple (nontoxic) goiter is characterized by thyroid enlargement without associated thyroid dysfunction. It often results from iodine deficiency, particularly in regions where dietary iodine intake is inadequate. Endemic goiter is a public health concern in various parts of Africa, particularly in landlocked areas distant from marine sources of iodine. Hashimoto's thyroiditis and Graves' disease are autoimmune thyroid disorders. Toxic multinodular goiter is characterized by multiple hyperfunctioning thyroid nodules. Thyroid cancer may present with a palpable thyroid nodule but is less commonly associated with diffuse thyroid enlargement.",5,D,Hashimoto's thyroiditis,Graves' disease,Toxic multinodular goiter,Simple (nontoxic) goiter,Thyroid cancer,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following conditions is characterized by an abnormal enlargement of the thyroid gland, often resulting in a visibly enlarged neck, and is endemic in certain regions of Africa due to dietary iodine deficiency?
###Options:
A.  Hashimoto's thyroiditis
B.  Graves' disease
C.  Toxic multinodular goiter
D.  Simple (nontoxic) goiter
E.  Thyroid cancer

###Answer:","D.  Simple (nontoxic) goiter

Rationale: Simple (nontoxic) goiter is characterized by an abnormal enlargement of the thyroid gland, often resulting in a visibly enlarged neck. This condition is endemic in certain regions of Africa due to dietary iodine deficiency. Hashimoto's thyroiditis is an autoimmune condition that leads to hypothyroidism, not goiter. Graves' disease is another autoimmune condition that leads to hyperthyroidism, also not goiter. Toxic multinodular goiter is a condition where multiple nodules in the thyroid gland produce excess thyroid hormone, leading to hyperthyroidism. Thyroid cancer is a malignant condition that can lead to a variety of symptoms, including goiter, but is not typically associated with iodine deficiency. Therefore, the correct answer is D. Simple (nontoxic) goiter.",D,True,0.44776118905769663,0.1555555506302471,0.43283581592336834,0.8816471,0.9062999,0.8938036
67351c580446820415846e4246ba2f3464ed382c3f300453840993c4bf842d12,"Which of the following infectious diseases, endemic to certain regions of Africa, is caused by the bacterium Mycobacterium leprae and primarily affects the skin, nerves, and mucous membranes?","Leprosy, also known as Hansen's disease, is a chronic infectious disease caused by Mycobacterium leprae. It primarily affects the skin, peripheral nerves, mucous membranes of the upper respiratory tract, and eyes. Leprosy is endemic in several regions of Africa, Asia, and Latin America. Tuberculosis, caused by Mycobacterium tuberculosis, primarily affects the lungs but can involve other organs as well. Yaws is a tropical disease caused by the bacterium Treponema pallidum pertenue. Buruli ulcer disease is caused by Mycobacterium ulcerans and primarily affects the skin and subcutaneous tissue. Lymphatic filariasis is caused by filarial worms transmitted by mosquitoes and primarily affects the lymphatic system.",5,B,Tuberculosis,Leprosy,Yaws,Buruli ulcer disease,Lymphatic filariasis,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following infectious diseases, endemic to certain regions of Africa, is caused by the bacterium Mycobacterium leprae and primarily affects the skin, nerves, and mucous membranes?
###Options:
A.  Tuberculosis
B.  Leprosy
C.  Yaws
D.  Buruli ulcer disease
E.  Lymphatic filariasis

###Answer:","B.  Leprosy
Rationale: Leprosy, caused by Mycobacterium leprae, is a chronic infectious disease that affects the skin, nerves, and mucous membranes. It is endemic in certain regions of Africa, as well as in Asia and South America. The disease is characterized by the formation of skin lesions, nerve damage, and loss of sensation. Leprosy is transmitted through prolonged close contact with an infected individual, and it can lead to disfigurement and disability if left untreated. The other options listed, such as tuberculosis, yaws, Buruli ulcer disease, and lymphatic filariasis, are also infectious diseases but have different causative agents and clinical presentations. Tuberculosis is caused by Mycobacterium tuberculosis and primarily affects the lungs, while yaws is caused by Treponema pallidum pertenue and affects the skin and bones. Buruli ulcer disease is caused by Mycobacterium ulcerans and leads to skin ulcers, and lymphatic filariasis is caused by filarial worms and affects the lymphatic system.",B,True,0.5542168626331835,0.2986425291824492,0.5180722843199305,0.89314514,0.91185415,0.90240264
b0b91d118616037284a08889d727235b526dacb738d273673c6e8122558ef6fc,Which of the following is a viral hemorrhagic fever that is endemic to certain regions of Africa and is transmitted to humans through contact with infected rodents or their urine?,"Lassa fever is a viral hemorrhagic fever caused by the Lassa virus, which is primarily transmitted to humans through contact with urine or feces of infected Mastomys rodents. It is endemic to several West African countries and can lead to severe illness, including hemorrhagic fever and multi-organ failure. Ebola virus disease, Marburg virus disease, and Rift Valley fever are also viral hemorrhagic fevers found in Africa, but they are transmitted through different mechanisms and are associated with distinct viral pathogens.",5,B,Ebola virus disease,Lassa fever,Marburg virus disease,Rift Valley fever,Typhoid,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following is a viral hemorrhagic fever that is endemic to certain regions of Africa and is transmitted to humans through contact with infected rodents or their urine?
###Options:
A.  Ebola virus disease
B.  Lassa fever
C.  Marburg virus disease
D.  Rift Valley fever
E.  Typhoid

###Answer:","B.  Lassa fever

Rationale: Lassa fever is a viral hemorrhagic fever that is endemic to certain regions of West Africa, particularly Nigeria and other neighboring countries. It is transmitted to humans through contact with infected rodents, particularly the multimammate rat (Mastomys natalensis), or their urine. The virus can also be transmitted through direct contact with blood, secretions, organs, or other bodily fluids of infected people. The other options listed, such as Ebola virus disease, Marburg virus disease, and Rift Valley fever, are also viral hemorrhagic fevers but are not primarily transmitted through contact with rodents or their urine. Typhoid is a bacterial infection caused by Salmonella typhi and is not a viral hemorrhagic fever. Therefore, the correct answer is B) Lassa fever.",B,True,0.5629629580620029,0.30601092410522857,0.5333333284323731,0.876968,0.9136492,0.8949329
1972fbe11f6249de5461c7836698bd1d7d17a244eb7bdbd973b78c442f2348f6,Ms XY is a primigravida who is 30 weeks pregnant. She presents toA   E with acute onset of shortness of breath and chest pain. Shehas just travelled via a long-haul flight (12 h) to Kenya. Which of thefollowing investigations is not appropriate in the investigation of asuspected pulmonary embolus in pregnancy?,A CTPA exposes a pregnant woman to very high amounts of x-rays. This is teratogenic to the unborn fetus.,5,E,V/Q Scan.,CXR.,D-Dimer..,ECG.,CTPA.,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Ms XY is a primigravida who is 30 weeks pregnant. She presents toA   E with acute onset of shortness of breath and chest pain. Shehas just travelled via a long-haul flight (12 h) to Kenya. Which of thefollowing investigations is not appropriate in the investigation of asuspected pulmonary embolus in pregnancy?
###Options:
A.  V/Q Scan.
B.  CXR.
C.  D-Dimer..
D.  ECG.
E.  CTPA.

###Answer:",A.  V/Q Scan.,A,False,0.09523809278911571,0.0,0.09523809278911571,0.85471874,0.83469665,0.84458905
480181ec8fcb02bc808bc61fc3ab24c25bd846aaae1626a5368428033917f0f7,"A 25-year-old woman comes to the office because of a 3-day history of fever, chills, severe headache, weakness, muscle pain, loss of appetite, vomiting, diarrhea, and moderate abdominal pain. She is in nursing school and returned from a medical missions trip in West Africa 10 days ago. Her symptoms began abruptly while she was shopping in a supermarket after her return. Temperature is 39.0°C (102.2°F), pulse is 100/min, respirations are 22/min, and blood pressure is 110/70 mm Hg. The patient appears ill and in mild respiratory distress. Physical examination discloses poor skin turgor and hyperactive bowel sounds. Muscle strength is 4/5 throughout. Laboratory studies show leukopenia and thrombocytopenia. Which of the following is the most sensitive and specific test for detection of the suspected viral genome in this patient?","Given the patient's recent travel history to West Africa and the symptoms suggestive of viral hemorrhagic fever, such as fever, chills, headache, weakness, and thrombocytopenia, the most sensitive and specific test for detection of the suspected viral genome would be (C) Reverse transcription-polymerase chain reaction (RT-PCR) test.",5,C,Microarray analysis,Northern blot,Reverse transcription-polymerase chain reaction test,Southern blot,Western blot,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A 25-year-old woman comes to the office because of a 3-day history of fever, chills, severe headache, weakness, muscle pain, loss of appetite, vomiting, diarrhea, and moderate abdominal pain. She is in nursing school and returned from a medical missions trip in West Africa 10 days ago. Her symptoms began abruptly while she was shopping in a supermarket after her return. Temperature is 39.0°C (102.2°F), pulse is 100/min, respirations are 22/min, and blood pressure is 110/70 mm Hg. The patient appears ill and in mild respiratory distress. Physical examination discloses poor skin turgor and hyperactive bowel sounds. Muscle strength is 4/5 throughout. Laboratory studies show leukopenia and thrombocytopenia. Which of the following is the most sensitive and specific test for detection of the suspected viral genome in this patient?
###Options:
A.  Microarray analysis
B.  Northern blot
C.  Reverse transcription-polymerase chain reaction test
D.  Southern blot
E.  Western blot

###Answer:","C.  Reverse transcription-polymerase chain reaction test

Rationale: The patient's symptoms, travel history, and laboratory findings suggest a viral infection, possibly a hemorrhagic fever such as Ebola or Marburg virus, which are common in West Africa. The most sensitive and specific test for detecting the genome of these viruses is the reverse transcription-polymerase chain reaction (RT-PCR) test. This test is capable of amplifying and detecting the viral RNA genome directly from patient specimens. Microarray analysis is not specific enough for viral detection. Northern blot is not commonly used for viral genome detection. Southern blot is used for DNA detection, not RNA. Western blot is used for protein detection, not viral genome detection. Therefore, the reverse transcription-polymerase chain reaction test is the most appropriate diagnostic test for this patient.",C,True,0.41441440991153317,0.18543045933950278,0.3423423378394611,0.8734435,0.88916737,0.88123524
9fbe4134a572e8e2c8fc66ec8b5d578b9a920de63143be9129729b462ae70a92,The following diseases must be screened for in blood for transfusion in Kenya;,"Hepatitis, Hiv and Syphillis screening are mandatory for blood transfusion in Kenya.",4,D,Hepatitis,HIV,Syphillis,All of the above,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: The following diseases must be screened for in blood for transfusion in Kenya;
###Options:
A.  Hepatitis
B.  HIV
C.  Syphillis
D.  All of the above

###Answer:","D. All of the above

Rationale: In Kenya, all blood donors are screened for Hepatitis B, HIV, and Syphilis before transfusion to ensure the safety of the recipient. This is in line with the World Health Organization (WHO) guidelines for blood transfusion safety. The screening tests include ELISA for HIV, HBsAg for Hepatitis B, and RPR or VDRL for Syphilis.",D,True,0.2499999966326531,0.05970148979282704,0.17857142520408167,0.8443877,0.8837775,0.86363375
5973b65cc72965bbd94cc61f141722c44a574fcbe80a0c0ff815cfd5bbaea136,Acceptable blood donors in Kenya do not include:,Commercial blood donors are not allowed in Kenya,5,C,Patient called donor,Voluntary call responsive,Commercial,Autologous,Voluntary walk in,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Acceptable blood donors in Kenya do not include:
###Options:
A.  Patient called donor
B.  Voluntary call responsive
C.  Commercial
D.  Autologous
E.  Voluntary walk in

###Answer:","C. Commercial

Rationale: In Kenya, commercial blood donation is not accepted due to the risk of commercialization and exploitation of vulnerable populations. The country follows guidelines that prioritize voluntary, non-remunerated blood donation to ensure the safety and ethical sourcing of blood products. Patients, voluntary call respondents, autologous donors, and voluntary walk-in donors are considered acceptable blood donors in Kenya.",C,True,0.25454545205950413,0.09374999805175785,0.25454545205950413,0.82475984,0.90838903,0.8645568
2311d9a9e7bb66677a3b560f2a88a7c528bf8fdb478087d9d81e722ee41f8388,"Which of the following conditions, prevalent in Africa, is characterized by the abnormal growth of cells in the prostate gland, leading to symptoms such as urinary frequency, urgency, hesitancy, weak urinary stream, and nocturia?","Benign prostatic hyperplasia (BPH) is a common condition in aging men, characterized by the non-cancerous enlargement of the prostate gland. BPH can cause compression of the urethra, leading to urinary symptoms such as frequency, urgency, hesitancy, weak urinary stream, and nocturia. BPH is prevalent in Africa and can significantly affect quality of life if left untreated. Prostatitis is inflammation of the prostate gland and can present with similar urinary symptoms but is often associated with pain or discomfort in the pelvic area. Prostate cancer is a malignancy of the prostate gland and may also cause urinary symptoms, along with other systemic manifestations. Epididymitis is inflammation of the epididymis, often secondary to infection, and presents with scrotal pain and swelling. Testicular cancer is a malignancy of the testes and typically presents with a painless testicular mass.",5,C,Prostatitis,Prostate cancer,Benign prostatic hyperplasia (BPH),Epididymitis,Testicular cancer,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following conditions, prevalent in Africa, is characterized by the abnormal growth of cells in the prostate gland, leading to symptoms such as urinary frequency, urgency, hesitancy, weak urinary stream, and nocturia?
###Options:
A.  Prostatitis
B.  Prostate cancer
C.  Benign prostatic hyperplasia (BPH)
D.  Epididymitis
E.  Testicular cancer

###Answer:",C.  Benign prostatic hyperplasia (BPH),C,True,0.0919540219051394,0.05084745697213445,0.0919540219051394,0.9117059,0.7912173,0.8471991
2ea6139fdc9b2998470f3d7d8efa48e722a6dbde660bf25485f8e1f7bc9fbaa3,"Which of the following conditions, prevalent in Africa, is characterized by the formation of multiple, fluid-filled cysts in the kidneys, leading to progressive renal dysfunction and eventual kidney failure?"," Polycystic kidney disease (PKD) is a genetic disorder characterized by the formation of multiple fluid-filled cysts in the kidneys. These cysts can gradually enlarge, leading to compression of surrounding renal tissue and progressive renal dysfunction. PKD is prevalent in Africa and can ultimately result in kidney failure if left untreated. Glomerulonephritis is inflammation of the glomeruli, the filtering units of the kidneys, and can lead to kidney damage. Nephrolithiasis refers to the formation of kidney stones, which can cause obstruction and renal colic. Pyelonephritis is inflammation and infection of the kidney parenchyma, often secondary to ascending urinary tract infections. Renal cell carcinoma is a type of kidney cancer.",5,A,Polycystic kidney disease,Glomerulonephritis,Nephrolithiasis,Pyelonephritis,Renal cell carcinoma,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following conditions, prevalent in Africa, is characterized by the formation of multiple, fluid-filled cysts in the kidneys, leading to progressive renal dysfunction and eventual kidney failure?
###Options:
A.  Polycystic kidney disease
B.  Glomerulonephritis
C.  Nephrolithiasis
D.  Pyelonephritis
E.  Renal cell carcinoma

###Answer:","A.  Polycystic kidney disease

Rationale: Polycystic kidney disease (PKD) is a genetic disorder characterized by the formation of numerous fluid-filled cysts in the kidneys. This condition is more common in Africa and can lead to progressive renal dysfunction and eventually kidney failure. The cysts can cause the kidneys to enlarge and can disrupt normal kidney function, leading to symptoms such as hypertension, hematuria, and abdominal pain. In contrast, glomerulonephritis is an inflammation of the glomeruli, nephrolithiasis refers to the formation of kidney stones, pyelonephritis is a bacterial infection of the kidneys, and renal cell carcinoma is a type of kidney cancer. None of these conditions are characterized by the formation of multiple cysts in the kidneys.",A,True,0.5611510741369494,0.446700502614342,0.5611510741369494,0.9085519,0.9154792,0.9120024
09cbeee45181ee6a8b98880fd5beb1e7e63bce5cdaad8bec3f56f3aef56ef024,"Which of the following conditions, prevalent in Africa, is characterized by a chronic, relapsing inflammatory skin disorder with erythematous, scaly plaques, often affecting extensor surfaces and the scalp?"," Psoriasis is a chronic inflammatory skin disorder characterized by erythematous, scaly plaques, typically affecting extensor surfaces such as the elbows and knees, as well as the scalp. It can present with itching, pain, and discomfort. Psoriasis is prevalent in Africa and can significantly impact the quality of life of affected individuals. Eczema, also known as atopic dermatitis, is another inflammatory skin condition characterized by pruritic, erythematous patches, often with oozing and crusting. Dermatophytosis, or ringworm, is a fungal infection of the skin, hair, or nails. Scabies is caused by the Sarcoptes scabiei mite and presents with intense itching and a characteristic rash. Contact dermatitis is inflammation of the skin triggered by contact with irritants or allergens.",5,B,Eczema,Psoriasis,Dermatophytosis,Scabies,Contact dermatitis,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Which of the following conditions, prevalent in Africa, is characterized by a chronic, relapsing inflammatory skin disorder with erythematous, scaly plaques, often affecting extensor surfaces and the scalp?
###Options:
A.  Eczema
B.  Psoriasis
C.  Dermatophytosis
D.  Scabies
E.  Contact dermatitis

###Answer:","B. Psoriasis
Rationale: Psoriasis is a chronic, relapsing inflammatory skin disorder characterized by erythematous, scaly plaques that often affect extensor surfaces and the scalp. It is a common condition in Africa and is known to have a significant impact on the quality of life of affected individuals. The other options, such as eczema, dermatophytosis, scabies, and contact dermatitis, are also skin conditions but do not match the specific clinical presentation described in the question. Eczema typically presents with itchy, inflamed skin, dermatophytosis is a fungal infection, scabies is caused by mites, and contact dermatitis is an allergic reaction to a substance. None of these conditions are characterized by the specific combination of symptoms described in the question. Therefore, the correct answer is B) Psoriasis.",B,True,0.46987951308390197,0.23214285214644462,0.39759035645739593,0.8878997,0.88875276,0.888326
