sample_id,question,rationale,options_len,answer,A,B,C,D,E,model_prompt,outputs,preds,correct
82f4f05342c43de9e3745c09b2532b87a70c500d1b520b578a48c805fe388c8e,Which of the following is correct about premalignant lesions of the cervix?,no rationale,5,D,They are intraepithelial lesions of the cervix,They are intraepithelial lesions of the cervix,They are intraepithelial lesions of the cervix,They are intraepithelial lesions of the cervix,They are intraepithelial lesions of the cervix,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: Which of the following is correct about premalignant lesions of the cervix?
###Options:
A.  They are intraepithelial lesions of the cervix
B.  They are intraepithelial lesions of the cervix
C.  They are intraepithelial lesions of the cervix
D.  They are intraepithelial lesions of the cervix
E.  They are intraepithelial lesions of the cervix

###Answer:",A,A,False
058976b5843caabec4bbaf06b357a04c7ee59aa8813b6fd98bdef4f150ac3bae,Which of the following is an example of 5HT-2 antagonist ,no rationale,5,A,A.	Trazadone,B.	Phenelzine,C.	Amoxapine,D.	Duloxetine,E.	Escitalopram,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: Which of the following is an example of 5HT-2 antagonist 
###Options:
A.  A.	Trazadone
B.  B.	Phenelzine
C.  C.	Amoxapine
D.  D.	Duloxetine
E.  E.	Escitalopram

###Answer:",A,A,True
2ff39f7fb0ee57eb689ac5013ea916e92ef8e74cf8617ff424d6e001e29438bb,Which of the following is not an absolute contraindication to the use of thrombolytic therapy in acute stroke,no rationale,5,A,Pregnancy,Blood pressure more than 185\110 mmHg,Stroke in the last 3 months,Platelet count less than 100000,History of intracranial haemorrhage,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: Which of the following is not an absolute contraindication to the use of thrombolytic therapy in acute stroke
###Options:
A.  Pregnancy
B.  Blood pressure more than 185\110 mmHg
C.  Stroke in the last 3 months
D.  Platelet count less than 100000
E.  History of intracranial haemorrhage

###Answer:",B,B,False
97ee3c11b7351ebe014149b60b95ded07fd1e8e98c98a59c9321fc19f8ea6207,Which of the following drugs is used to reduce vasospasm in patients with acute subarachnoid stroke?,no rationale,5,A,Nifedipine,Amlodipine,Felodipine,Cardipine,Mannitol,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: Which of the following drugs is used to reduce vasospasm in patients with acute subarachnoid stroke?
###Options:
A.  Nifedipine
B.  Amlodipine
C.  Felodipine
D.  Cardipine
E.  Mannitol

###Answer:",A,A,True
6c1a560b77d10570c8f514cbce59edeca829c66a0f85be2b5bdbefae849eb50e,3)	Which of the following coagulation factors are decreased in normal newborn infants as compared to older children/adults?,no rationale,5,C,Factor I,Factor V,c. Factor VII,Factor VIII,Factor XIII,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: 3)	Which of the following coagulation factors are decreased in normal newborn infants as compared to older children/adults?
###Options:
A.  Factor I
B.  Factor V
C.  c. Factor VII
D.  Factor VIII
E.  Factor XIII

###Answer:",B,B,False
08f83b5eb73c5b74fdb2380d37760bfd763f0c999474de63b25475d78667d7e0,The patient in the question above is most likely to have which type of lung cancer? ,no rationale,5,D,Squamous carcinoma,Adenocarcinoma,Large cell carcinoma,Small cell carcinoma,None of the above,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: The patient in the question above is most likely to have which type of lung cancer? 
###Options:
A.  Squamous carcinoma
B.  Adenocarcinoma
C.  Large cell carcinoma
D.  Small cell carcinoma
E.  None of the above

###Answer:",D,D,True
d248a54915ee56cc134e3b5de67b5edf2c460a8091c7ddf8e3c1b5979fd37363,"Which rash is not characteristically found on the hands?
",no rationale,5,E,secondary syphillis,erythema multiforme,gonococcus,meningococcus,herpes simplex,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: Which rash is not characteristically found on the hands?

###Options:
A.  secondary syphillis
B.  erythema multiforme
C.  gonococcus
D.  meningococcus
E.  herpes simplex

###Answer:",M\n\n(I apologize,M,False
fb84881f13378011c40f8a1428ff511b6dc6b6d30ae468177ef7e04a4e2476ba,"Which of these does not cause genital ulceration?
",no rationale,5,E,syphilis,HIV,Lymphogranuloma venereum,chancroid,herpes simplex infection,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: Which of these does not cause genital ulceration?

###Options:
A.  syphilis
B.  HIV
C.  Lymphogranuloma venereum
D.  chancroid
E.  herpes simplex infection

###Answer:",Lymphogranul,L,False
88807b0b6281a3a21fbdb34bd88711e12d28a6aa5e7322f5474cb4487e6b3c65,In the classification of Hodgkin’s Lymphoma,no rationale,5,A,a.	The site of lymph nodes is important,b.	RS cells are very few in the Nodular Sclerosis class,c.	RS cells are numerous in the Lymphocyte predominant class,d.	The Lacunar cell is the hallmark of the Nodular Sclerosis class,e.	Diffuse fibrosis is associated with good prognosis,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: In the classification of Hodgkin’s Lymphoma
###Options:
A.  a.	The site of lymph nodes is important
B.  b.	RS cells are very few in the Nodular Sclerosis class
C.  c.	RS cells are numerous in the Lymphocyte predominant class
D.  d.	The Lacunar cell is the hallmark of the Nodular Sclerosis class
E.  e.	Diffuse fibrosis is associated with good prognosis

###Answer:",D,D,False
44636cdeeea116d19adf7ed2b0fa6530b90e3b791093c1f0ecce72168a2035ec,"Which of the following statements about leprosy (Hansen’s disease) is NOT True?
 
 
",no rationale,5,D,"Patients may present with asymmetrical, well-defined, anesthetic, hypopigmented or erythematous macules with elevated edges and a dry rough surface",There are often nodular lesions on the patient’s face in the acute phase of the lepromatous variety.,"Patients have neural involvement characterized by thickening of nerves, which are tender",The condition is diagnosed by demonstrating bacilli in urine,The patient is treated by a multidisciplinary team of infection disease specialist and  surgeons,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: Which of the following statements about leprosy (Hansen’s disease) is NOT True?
 
 

###Options:
A.  Patients may present with asymmetrical, well-defined, anesthetic, hypopigmented or erythematous macules with elevated edges and a dry rough surface
B.  There are often nodular lesions on the patient’s face in the acute phase of the lepromatous variety.
C.  Patients have neural involvement characterized by thickening of nerves, which are tender
D.  The condition is diagnosed by demonstrating bacilli in urine
E.  The patient is treated by a multidisciplinary team of infection disease specialist and  surgeons

###Answer:",D,D,True
2ce9611e571c17ea6e0031f609dc8a458ee4ed2b5c51af1affc2311a360b5a6e,"Which of the following statements is NOT True in the treatment for typhoid perforation?
 

 
",no rationale,5,C,Perforation occurring in the first week of typhoid fever has a better prognosis as the patient’s nutritional and immunological status is better,Treatment involves vigorous resuscitation with intravenous  fluids and antibiotics in an intensive care unit,Chloramphenicol is the drug of choice,"Several surgical options can be carried out, depending on the condition of the patient, the site and number of perforations and the amount of peritoneal soiling","The skin and subcutaneous tissue are often kept open for delayed closure, as wound infection inevitably happens, leading to wound dehiscence","###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: Which of the following statements is NOT True in the treatment for typhoid perforation?
 

 

###Options:
A.  Perforation occurring in the first week of typhoid fever has a better prognosis as the patient’s nutritional and immunological status is better
B.  Treatment involves vigorous resuscitation with intravenous  fluids and antibiotics in an intensive care unit
C.  Chloramphenicol is the drug of choice
D.  Several surgical options can be carried out, depending on the condition of the patient, the site and number of perforations and the amount of peritoneal soiling
E.  The skin and subcutaneous tissue are often kept open for delayed closure, as wound infection inevitably happens, leading to wound dehiscence

###Answer:",A,A,False
0a0f04cc004a919e1ec3baabd732c2bf7c702d8a5ba1d7ba2933dbec5916e1c9,"Which of the following statements is True concerning Tuberculoid leprosy?





",no rationale,5,A,"Skin lesions usually have a well-demarcated, raised edge",Hair growth is normal in affected skin lesions,Peripheral nerves are involved symmetrically,The lepromin test is negative,Smear negative cases can be treated with steroids alone,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: Which of the following statements is True concerning Tuberculoid leprosy?






###Options:
A.  Skin lesions usually have a well-demarcated, raised edge
B.  Hair growth is normal in affected skin lesions
C.  Peripheral nerves are involved symmetrically
D.  The lepromin test is negative
E.  Smear negative cases can be treated with steroids alone

###Answer:",A,A,True
911176598bb123b6e377a876cd1d43c665b00f413ffed079042c5471a1eade0a,"Surgery for ileal and ileocecal tuberculosis may involve

 
 


",no rationale,5,E,Limited ileocolic resection,Right hemicolectomy,Ileo-transverse anastomosis,Stricturoplasty,All of the above,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: Surgery for ileal and ileocecal tuberculosis may involve

 
 



###Options:
A.  Limited ileocolic resection
B.  Right hemicolectomy
C.  Ileo-transverse anastomosis
D.  Stricturoplasty
E.  All of the above

###Answer:",E,E,True
faad81c8b198bc63f643235cb326bc052d6d0c24407e2598cd96c8f63ee40a2f,"Which of the following types of lesion may be caused by intestinal infection with Mycobacterium tuberculosis?
 
 

",no rationale,5,A,Transverse ulcers with undermined edges in the ileum,Longitudinal ulcers on the antimesenteric border of the terminal ileum,Tubercles on the mucosal aspect of the intestine,Apple-core lesions of the colon,Transmural inflammation with a propensity for fistula formation,"###Instruction: You should directly answer the question by choosing ONLY the correct option from the list of options that will be provided to you. You must only return one character between A,B,C,D,E. You MUST NOT provide any additional text or explanation.

###Question: Which of the following types of lesion may be caused by intestinal infection with Mycobacterium tuberculosis?
 
 


###Options:
A.  Transverse ulcers with undermined edges in the ileum
B.  Longitudinal ulcers on the antimesenteric border of the terminal ileum
C.  Tubercles on the mucosal aspect of the intestine
D.  Apple-core lesions of the colon
E.  Transmural inflammation with a propensity for fistula formation

###Answer:",A,A,True
